num_topics_Total,alpha,beta,topicoAct,words
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],0,"(0, '0.147*""quicken"" + 0.055*""account"" + 0.045*""version"" + 0.040*""transact"" + 0.035*""upgrad"" + 0.033*""bank"" + 0.030*""download"" + 0.018*""money"" + 0.017*""use"" + 0.017*""featur""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],1,"(1, '0.080*""app"" + 0.067*""institut"" + 0.060*""sync"" + 0.060*""mobil"" + 0.041*""rental"" + 0.040*""properti"" + 0.035*""loan"" + 0.025*""manag"" + 0.020*""renew"" + 0.017*""biggest""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],2,"(2, '0.234*""mac"" + 0.218*""window"" + 0.123*""version"" + 0.071*""pc"" + 0.036*""run"" + 0.020*""compat"" + 0.018*""os"" + 0.012*""switch"" + 0.011*""parallel"" + 0.009*""platform""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],3,"(3, '0.112*""year"" + 0.046*""turbotax"" + 0.037*""use"" + 0.036*""tax"" + 0.027*""delux"" + 0.026*""version"" + 0.019*""last"" + 0.015*""premier"" + 0.013*""busi"" + 0.013*""price""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],4,"(4, '0.119*""tax"" + 0.111*""state"" + 0.074*""file"" + 0.064*""return"" + 0.042*""turbo"" + 0.029*""form"" + 0.026*""feder"" + 0.023*""pay"" + 0.017*""turbotax"" + 0.016*""charg""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],5,"(5, '0.022*""use"" + 0.022*""program"" + 0.018*""time"" + 0.017*""work"" + 0.017*""updat"" + 0.013*""one"" + 0.012*""get"" + 0.011*""file"" + 0.011*""go"" + 0.010*""back""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],6,"(6, '0.043*""product"" + 0.043*""intuit"" + 0.034*""softwar"" + 0.016*""use"" + 0.015*""like"" + 0.015*""custom"" + 0.014*""buy"" + 0.013*""user"" + 0.011*""review"" + 0.011*""make""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],7,"(7, '0.146*""credit"" + 0.130*""card"" + 0.083*""payment"" + 0.034*""amount"" + 0.026*""deposit"" + 0.021*""owe"" + 0.020*""navig"" + 0.019*""calcul"" + 0.019*""reconcili"" + 0.016*""junk""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],8,"(8, '0.130*""quickbook"" + 0.062*""busi"" + 0.060*""qb"" + 0.057*""payrol"" + 0.036*""pro"" + 0.029*""small"" + 0.023*""invoic"" + 0.021*""employe"" + 0.019*""servic"" + 0.016*""pay""')"
10,"[0.915182   0.16023941 0.15507667 0.989093   0.30363095 2.5826156
 1.9391452  0.12048738 0.17800175 1.0148835 ]",[0.17339909 0.07563896 0.27983305 ... 0.06862719 0.06857307 0.06859485],9,"(9, '0.040*""support"" + 0.027*""instal"" + 0.027*""problem"" + 0.024*""get"" + 0.023*""tri"" + 0.023*""call"" + 0.023*""help"" + 0.022*""download"" + 0.020*""hour"" + 0.017*""work""')"
15,"[0.9384471  0.17758577 0.22095734 3.7090075  0.3417396  2.7916589
 0.30562901 0.18603785 0.18950014 0.5422402  0.29255453 0.6629202
 0.21901901 0.22031163 0.24017926]",[0.09774316 0.05478024 0.2185456  ... 0.0512324  0.05123234 0.05123235],0,"(0, '0.223*""quicken"" + 0.126*""version"" + 0.077*""upgrad"" + 0.038*""new"" + 0.029*""featur"" + 0.028*""use"" + 0.023*""bank"" + 0.021*""download"" + 0.018*""financi"" + 0.018*""forc""')"
