num_topics_Total,alpha,beta,topicoAct,words
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],0,"(0, '0.070*""sim"" + 0.028*""new"" + 0.026*""pack"" + 0.022*""expans"" + 0.013*""build"" + 0.012*""citi"" + 0.012*""plant"" + 0.011*""make"" + 0.010*""pet"" + 0.010*""hous""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],1,"(1, '0.028*""player"" + 0.021*""weapon"" + 0.021*""multiplay"" + 0.019*""campaign"" + 0.019*""team"" + 0.016*""mode"" + 0.014*""enemi"" + 0.014*""kill"" + 0.013*""gun"" + 0.013*""op""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],2,"(2, '0.050*""fight"" + 0.038*""quot"" + 0.018*""flag"" + 0.018*""fighter"" + 0.017*""bond"" + 0.017*""box"" + 0.014*""vanquish"" + 0.014*""punch"" + 0.012*""gadget"" + 0.010*""rogu""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],3,"(3, '0.015*""time"" + 0.014*""use"" + 0.010*""get"" + 0.010*""control"" + 0.008*""go"" + 0.007*""seem"" + 0.007*""take"" + 0.007*""one"" + 0.006*""way"" + 0.006*""back""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],4,"(4, '0.031*""player"" + 0.024*""play"" + 0.020*""team"" + 0.019*""madden"" + 0.017*""year"" + 0.016*""mode"" + 0.013*""gen"" + 0.012*""ea"" + 0.012*""fifa"" + 0.009*""new""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],5,"(5, '0.018*""like"" + 0.016*""play"" + 0.013*""first"" + 0.012*""good"" + 0.010*""stori"" + 0.010*""get"" + 0.010*""one"" + 0.009*""realli"" + 0.009*""time"" + 0.008*""level""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],6,"(6, '0.027*""battlefield"" + 0.023*""map"" + 0.015*""pc"" + 0.015*""play"" + 0.015*""issu"" + 0.014*""player"" + 0.014*""server"" + 0.012*""campaign"" + 0.012*""multiplay"" + 0.011*""bf3""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],7,"(7, '0.020*""charact"" + 0.014*""stori"" + 0.014*""effect"" + 0.012*""origin"" + 0.010*""mass"" + 0.009*""combat"" + 0.008*""age"" + 0.008*""dragon"" + 0.008*""quest"" + 0.008*""one""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],8,"(8, '0.034*""play"" + 0.023*""like"" + 0.019*""get"" + 0.018*""fun"" + 0.016*""one"" + 0.015*""great"" + 0.012*""realli"" + 0.011*""love"" + 0.010*""good"" + 0.010*""time""')"
10,"[0.15651786 0.15203488 0.08475835 0.30665052 0.1570527  0.8520706
 0.17834607 0.23036991 1.814145   0.19261736]",[0.14279349 0.07757229 0.1179597  ... 0.07178791 0.07127426 0.07120405],9,"(9, '0.025*""race"" + 0.011*""mode"" + 0.011*""unlock"" + 0.011*""charact"" + 0.010*""point"" + 0.009*""also"" + 0.009*""burnout"" + 0.009*""event"" + 0.008*""new"" + 0.007*""track""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],0,"(0, '0.126*""citi"" + 0.066*""build"" + 0.037*""simciti"" + 0.027*""offlin"" + 0.020*""plant"" + 0.020*""servic"" + 0.019*""zone"" + 0.013*""creatur"" + 0.013*""road"" + 0.012*""region""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],1,"(1, '0.076*""dont"" + 0.074*""alot"" + 0.044*""im"" + 0.039*""that"" + 0.035*""cant"" + 0.027*""ring"" + 0.019*""there"" + 0.019*""lord"" + 0.015*""beat"" + 0.014*""cool""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],2,"(2, '0.077*""fight"" + 0.037*""puzzl"" + 0.033*""box"" + 0.026*""life"" + 0.025*""half"" + 0.020*""fighter"" + 0.020*""punch"" + 0.019*""flag"" + 0.016*""night"" + 0.013*""block""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],3,"(3, '0.013*""use"" + 0.013*""time"" + 0.008*""get"" + 0.007*""take"" + 0.007*""even"" + 0.007*""go"" + 0.007*""way"" + 0.007*""back"" + 0.006*""around"" + 0.006*""seem""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],4,"(4, '0.041*""player"" + 0.027*""mode"" + 0.027*""madden"" + 0.025*""play"" + 0.024*""team"" + 0.023*""year"" + 0.017*""fifa"" + 0.016*""ea"" + 0.013*""ball"" + 0.013*""footbal""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],5,"(5, '0.036*""play"" + 0.025*""like"" + 0.018*""get"" + 0.017*""one"" + 0.015*""fun"" + 0.015*""great"" + 0.014*""realli"" + 0.014*""good"" + 0.012*""time"" + 0.011*""graphic""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],6,"(6, '0.047*""pc"" + 0.036*""version"" + 0.028*""issu"" + 0.023*""consol"" + 0.021*""updat"" + 0.019*""download"" + 0.019*""run"" + 0.018*""mass"" + 0.017*""instal"" + 0.016*""patch""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],7,"(7, '0.033*""alic"" + 0.020*""song"" + 0.016*""nba"" + 0.015*""live"" + 0.015*""band"" + 0.014*""music"" + 0.013*""platform"" + 0.012*""street"" + 0.011*""rock"" + 0.011*""mad""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],8,"(8, '0.056*""race"" + 0.051*""car"" + 0.023*""speed"" + 0.022*""drive"" + 0.017*""mode"" + 0.014*""cop"" + 0.013*""burnout"" + 0.013*""need"" + 0.012*""crash"" + 0.011*""get""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],9,"(9, '0.021*""charact"" + 0.013*""stori"" + 0.010*""effect"" + 0.007*""origin"" + 0.007*""world"" + 0.007*""make"" + 0.007*""differ"" + 0.007*""experi"" + 0.007*""new"" + 0.006*""feel""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],10,"(10, '0.066*""sim"" + 0.030*""new"" + 0.027*""pack"" + 0.024*""expans"" + 0.013*""get"" + 0.010*""hous"" + 0.010*""make"" + 0.010*""famili"" + 0.010*""also"" + 0.010*""like""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],11,"(11, '0.028*""dead"" + 0.027*""space"" + 0.026*""weapon"" + 0.020*""level"" + 0.019*""enemi"" + 0.015*""zombi"" + 0.011*""kill"" + 0.010*""movi"" + 0.010*""like"" + 0.009*""use""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],12,"(12, '0.098*""bond"" + 0.055*""teen"" + 0.043*""agent"" + 0.033*""jame"" + 0.028*""ya"" + 0.026*""contract"" + 0.024*""goldeney"" + 0.020*""articl"" + 0.014*""sean"" + 0.014*""drive""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],13,"(13, '0.043*""player"" + 0.037*""multiplay"" + 0.035*""battlefield"" + 0.030*""map"" + 0.029*""campaign"" + 0.023*""mode"" + 0.023*""weapon"" + 0.019*""team"" + 0.018*""shooter"" + 0.017*""singl""')"
15,"[0.05191318 0.08001361 0.08739708 0.2908792  0.10774493 2.8561208
 0.17132837 0.11925425 0.1357371  0.57903975 0.21443045 0.20394829
 0.02078599 0.17071755 0.06878524]",[0.07220205 0.05715665 0.06819577 ... 0.05354956 0.05354621 0.05354596],14,"(14, '0.045*""quot"" + 0.036*""unit"" + 0.031*""command"" + 0.024*""battl"" + 0.019*""build"" + 0.019*""rts"" + 0.019*""red"" + 0.017*""c"" + 0.017*""strategi"" + 0.017*""faction""')"
