num_topics_Total,alpha,beta,topicoAct,words
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],0,"(0, '0.019*""button"" + 0.011*""press"" + 0.009*""play"" + 0.009*""use"" + 0.009*""like"" + 0.007*""time"" + 0.007*""even"" + 0.006*""get"" + 0.006*""one"" + 0.006*""go""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],1,"(1, '0.113*""pokemon"" + 0.021*""get"" + 0.016*""like"" + 0.013*""battl"" + 0.013*""dungeon"" + 0.012*""rescu"" + 0.012*""team"" + 0.011*""much"" + 0.010*""one"" + 0.010*""red""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],2,"(2, '0.037*""wii"" + 0.033*""play"" + 0.018*""control"" + 0.015*""nintendo"" + 0.014*""like"" + 0.010*""fun"" + 0.009*""use"" + 0.009*""gamecub"" + 0.008*""would"" + 0.007*""get""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],3,"(3, '0.059*""mario"" + 0.020*""super"" + 0.015*""nintendo"" + 0.012*""level"" + 0.010*""new"" + 0.009*""like"" + 0.008*""bros"" + 0.008*""one"" + 0.008*""world"" + 0.008*""get""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],4,"(4, '0.013*""zelda"" + 0.011*""time"" + 0.009*""get"" + 0.009*""like"" + 0.008*""control"" + 0.008*""make"" + 0.008*""one"" + 0.008*""sword"" + 0.007*""puzzl"" + 0.007*""use""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],5,"(5, '0.016*""control"" + 0.013*""graphic"" + 0.009*""bad"" + 0.009*""one"" + 0.007*""play"" + 0.007*""suck"" + 0.006*""kombat"" + 0.006*""fox"" + 0.006*""better"" + 0.006*""mortal""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],6,"(6, '0.019*""like"" + 0.013*""get"" + 0.013*""play"" + 0.013*""time"" + 0.012*""would"" + 0.012*""bore"" + 0.011*""one"" + 0.010*""graphic"" + 0.010*""good"" + 0.009*""first""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],7,"(7, '0.028*""one"" + 0.019*""like"" + 0.018*""play"" + 0.014*""bad"" + 0.012*""control"" + 0.012*""get"" + 0.011*""kirbi"" + 0.010*""graphic"" + 0.010*""good"" + 0.007*""ever""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],8,"(8, '0.011*""get"" + 0.011*""play"" + 0.010*""like"" + 0.009*""time"" + 0.008*""metroid"" + 0.008*""realli"" + 0.007*""one"" + 0.006*""use"" + 0.006*""first"" + 0.006*""would""')"
10,"[0.04982971 0.02868437 0.0976197  0.08468202 0.07498196 0.03764438
 0.07579722 0.04913282 0.12855062 0.0360875 ]",[0.10515652 3.1661606  1.3061017  ... 0.11325774 0.08844171 0.08843341],9,"(9, '0.024*""level"" + 0.022*""kong"" + 0.020*""donkey"" + 0.016*""star"" + 0.015*""origin"" + 0.012*""mansion"" + 0.011*""get"" + 0.011*""mission"" + 0.011*""dk"" + 0.010*""fox""')"
