num_topics_Total,alpha,beta,topicoAct,words
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],0,"(0, '0.045*""play"" + 0.030*""like"" + 0.028*""get"" + 0.025*""fun"" + 0.019*""one"" + 0.018*""great"" + 0.017*""love"" + 0.016*""realli"" + 0.014*""good"" + 0.014*""time""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],1,"(1, '0.010*""use"" + 0.010*""stori"" + 0.009*""time"" + 0.009*""make"" + 0.009*""charact"" + 0.008*""also"" + 0.007*""feel"" + 0.007*""like"" + 0.007*""well"" + 0.006*""new""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],2,"(2, '0.145*""pokemon"" + 0.024*""mon"" + 0.024*""eacut"" + 0.023*""pok"" + 0.019*""battl"" + 0.019*""boy"" + 0.019*""screen"" + 0.018*""white"" + 0.017*""black"" + 0.017*""new""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],3,"(3, '0.077*""metroid"" + 0.035*""prime"" + 0.023*""samus"" + 0.016*""boss"" + 0.015*""weapon"" + 0.013*""planet"" + 0.013*""mission"" + 0.012*""fight"" + 0.011*""shoot"" + 0.011*""first""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],4,"(4, '0.023*""fit"" + 0.015*""balanc"" + 0.013*""activ"" + 0.013*""use"" + 0.013*""exercis"" + 0.010*""mii"" + 0.010*""screen"" + 0.010*""train"" + 0.009*""brain"" + 0.008*""move""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],5,"(5, '0.120*""zelda"" + 0.075*""link"" + 0.046*""dungeon"" + 0.023*""sword"" + 0.019*""world"" + 0.018*""past"" + 0.017*""legend"" + 0.016*""time"" + 0.014*""ocarina"" + 0.012*""item""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],6,"(6, '0.064*""wii"" + 0.033*""control"" + 0.028*""player"" + 0.022*""mode"" + 0.019*""play"" + 0.014*""use"" + 0.012*""kart"" + 0.012*""charact"" + 0.012*""one"" + 0.011*""unlock""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],7,"(7, '0.114*""mario"" + 0.043*""level"" + 0.039*""super"" + 0.024*""kirbi"" + 0.021*""kong"" + 0.016*""world"" + 0.015*""donkey"" + 0.015*""bros"" + 0.015*""star"" + 0.014*""luigi""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],8,"(8, '0.028*""nintendo"" + 0.015*""origin"" + 0.014*""one"" + 0.014*""new"" + 0.014*""system"" + 0.014*""3ds"" + 0.012*""ds"" + 0.012*""best"" + 0.012*""titl"" + 0.010*""classic""')"
10,"[2.6338406  1.4323398  0.13191736 0.13727593 0.28610268 0.14050801
 0.77961826 0.38190237 1.1314797  0.11675897]",[0.07668194 0.14386041 4.770185   ... 0.07052438 0.07068619 0.07227556],9,"(9, '0.128*""puzzl"" + 0.045*""layton"" + 0.039*""quot"" + 0.036*""tropic"" + 0.032*""solv"" + 0.027*""daughter"" + 0.027*""demo"" + 0.022*""song"" + 0.021*""dkc"" + 0.017*""rhythm""')"
