num_topics_Total,alpha,beta,topicoAct,words
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],0,"(0, '0.020*""play"" + 0.017*""ps4"" + 0.013*""like"" + 0.013*""get"" + 0.011*""one"" + 0.009*""control"" + 0.008*""time"" + 0.008*""make"" + 0.008*""first"" + 0.006*""review""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],1,"(1, '0.016*""play"" + 0.014*""like"" + 0.011*""graphic"" + 0.011*""get"" + 0.009*""look"" + 0.009*""one"" + 0.009*""good"" + 0.008*""go"" + 0.008*""much"" + 0.008*""player""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],2,"(2, '0.011*""like"" + 0.010*""time"" + 0.009*""one"" + 0.008*""play"" + 0.007*""hour"" + 0.007*""stori"" + 0.007*""charact"" + 0.006*""realli"" + 0.006*""bore"" + 0.006*""feel""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],3,"(3, '0.014*""play"" + 0.012*""problem"" + 0.010*""work"" + 0.010*""soni"" + 0.010*""ps3"" + 0.010*""first"" + 0.009*""die"" + 0.009*""time"" + 0.009*""get"" + 0.008*""make""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],4,"(4, '0.016*""get"" + 0.011*""play"" + 0.010*""even"" + 0.010*""like"" + 0.009*""charact"" + 0.009*""time"" + 0.008*""first"" + 0.008*""stori"" + 0.007*""enemi"" + 0.007*""one""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],5,"(5, '0.051*""control"" + 0.020*""use"" + 0.015*""like"" + 0.014*""stick"" + 0.011*""ps3"" + 0.010*""card"" + 0.010*""case"" + 0.009*""analog"" + 0.008*""xbox"" + 0.008*""soni""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],6,"(6, '0.053*""car"" + 0.052*""race"" + 0.021*""drive"" + 0.017*""fun"" + 0.015*""turismo"" + 0.015*""gran"" + 0.013*""track"" + 0.011*""want"" + 0.011*""would"" + 0.010*""like""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],7,"(7, '0.015*""soni"" + 0.012*""tv"" + 0.010*""play"" + 0.010*""consol"" + 0.010*""one"" + 0.010*""would"" + 0.009*""work"" + 0.009*""get"" + 0.009*""ps3"" + 0.009*""good""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],8,"(8, '0.015*""play"" + 0.013*""suck"" + 0.012*""well"" + 0.012*""time"" + 0.010*""graphic"" + 0.010*""make"" + 0.009*""soni"" + 0.009*""control"" + 0.007*""noth"" + 0.007*""would""')"
10,"[0.12333569 0.12295864 0.05967148 0.05156361 0.0944704  0.04949417
 0.0465345  0.07704725 0.03607086 0.03616492]",[0.16052495 0.17411217 0.7849792  ... 0.08937624 0.09026889 0.0903833 ],9,"(9, '0.013*""like"" + 0.013*""play"" + 0.011*""kid"" + 0.011*""time"" + 0.010*""busi"" + 0.009*""purchas"" + 0.008*""custom"" + 0.008*""year"" + 0.008*""buy"" + 0.008*""soni""')"
