num_topics_Total,alpha,beta,topicoAct,words
13,2.0,2.0,0, product 0.09747 price 0.07222 excellent 0.01201 amazon 0.00828 buy 0.00664 better 0.00514 use 0.00425 year 0.00412 purchase 0.00363 happy 0.00321
13,2.0,2.0,1, turbotax 0.0509 year 0.04776 block 0.02721 just 0.0212 version 0.01416 tt 0.01408 like 0.01404 deluxe 0.01392 taxcut 0.01322 did 0.01159
13,2.0,2.0,2, easy 0.07426 program 0.05992 use 0.02332 questions 0.01738 step 0.01241 makes 0.01043 process 0.01007 taxes 0.0087 follow 0.00782 simple 0.00757
13,2.0,2.0,3, years 0.1316 used 0.08032 using 0.06746 ve 0.04478 10 0.01465 amazon 0.01156 past 0.00928 software 0.00892 previous 0.00599 works 0.00553
13,2.0,2.0,4, works 0.01127 easy 0.00919 use 0.0087 year 0.00658 software 0.00431 buy 0.00376 does 0.00295 money 0.00291 download 0.00283 problems 0.00252
13,2.0,2.0,5, tax 0.18618 turbo 0.05665 block 0.05287 software 0.028 business 0.01486 cut 0.01367 year 0.0118 easier 0.00881 returns 0.00793 personal 0.00714
13,2.0,2.0,6, worked 0.04415 fine 0.02243 got 0.01217 use 0.01004 time 0.00786 year 0.00761 problems 0.00726 did 0.00628 simple 0.00531 work 0.00464
13,2.0,2.0,7, state 0.03645 return 0.02449 file 0.01978 software 0.01868 federal 0.0153 forms 0.01154 free 0.01015 need 0.01001 filing 0.00959 download 0.00929
13,2.0,2.0,8, software 0.05044 use 0.04946 job 0.02283 year 0.01411 does 0.01327 easy 0.00498 gets 0.00457 better 0.00298 did 0.00214 block 0.00213
13,2.0,2.0,9, taxes 0.09737 recommend 0.02034 doing 0.01872 software 0.01869 highly 0.00957 use 0.00587 easy 0.00582 time 0.00527 money 0.00488 year 0.00363
13,2.0,2.0,10, use 0.02374 year 0.01473 easy 0.01142 program 0.00749 like 0.00598 works 0.00586 expected 0.00495 problems 0.0033 buy 0.0033 download 0.00328
13,2.0,2.0,11, good 0.07976 use 0.02457 software 0.01301 easy 0.01092 value 0.00642 year 0.00279 better 0.00275 friendly 0.00217 works 0.00215 does 0.00206
13,2.0,2.0,12, great 0.08497 software 0.05416 easy 0.02505 use 0.01815 best 0.01579 love 0.01249 works 0.01183 fast 0.0034 deal 0.00326 download 0.00265
