num_topics_Total,alpha,beta,topicoAct,words
18,2.0,2.0,0, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 white 0.00012 boring 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,1, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,2, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 white 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,3, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 white 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,4, sucks 0.00015 waste 0.00014 dont 0.00014 white 0.00012 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 red 0.00012 bucks 0.00012
18,2.0,2.0,5, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,6, game 0.04902 like 0.01218 just 0.01175 play 0.00922 games 0.00805 ea 0.00744 time 0.00683 really 0.00614 don 0.00588 good 0.00584
18,2.0,2.0,7, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,8, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 white 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,9, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 white 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,10, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,11, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 white 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,12, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,13, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 white 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,14, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,15, sucks 0.00015 waste 0.00014 dont 0.00014 white 0.00012 drm 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 red 0.00012 bucks 0.00012
18,2.0,2.0,16, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 windows 0.00012 boring 0.00012 white 0.00012 buy 0.00012 bucks 0.00012 pc 0.00012
18,2.0,2.0,17, sucks 0.00015 waste 0.00014 dont 0.00014 drm 0.00012 white 0.00012 windows 0.00012 boring 0.00012 buy 0.00012 bucks 0.00012 red 0.00012
