num_topics_Total,alpha,beta,topicoAct,words
28,2.0,2.0,0, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,1, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,2, game 0.04927 games 0.01282 like 0.01275 just 0.01238 mario 0.0109 play 0.00761 time 0.00759 nintendo 0.00675 really 0.00671 graphics 0.0063
28,2.0,2.0,3, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,4, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,5, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,6, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,7, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,8, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,9, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,10, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,11, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,12, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,13, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,14, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,15, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,16, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,17, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,18, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,19, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,20, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,21, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,22, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,23, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,24, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,25, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,26, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
28,2.0,2.0,27, suck 0.0002 buy 0.00019 boring 0.00019 dont 0.00019 bought 0.00018 card 0.00018 blocks 0.00018 money 0.00017 work 0.00017 kids 0.00017
