num_topics_Total,alpha,beta,topicoAct,words
31,0.25,0.3,0, wicked 0.00177 atvs 0.00097 tjought 0.00097 freinds 0.00097 motorcycles 0.00097 stunt 0.00097 consistently 0.00096 quirks 0.00096 pleading 0.00096 repetitious 0.00096
31,0.25,0.3,1, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 and3 0.00014 buthole 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,2, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 buthole 0.00014 and3 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,3, game 0.04696 like 0.0122 just 0.01159 games 0.00776 time 0.00672 play 0.00659 good 0.00649 really 0.00634 don 0.00556 fun 0.00542
31,0.25,0.3,4, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 and3 0.00014 buthole 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,5, syphon 0.00854 filter 0.00797 period 0.00226 leftovers 0.00173 cd 0.00163 fans 0.00135 slap 0.00135 planned 0.00134 unclear 0.00133 sorry 0.0011
31,0.25,0.3,6, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 and3 0.00014 buthole 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,7, horizontal 0.0018 actraiser 0.00097 detract 0.00097 verticle 0.00097 neglects 0.00096 buidling 0.00096 powder 0.00096 danger 0.00094 hybrid 0.00093 chests 0.00091
31,0.25,0.3,8, firework 0.00098 fireworks 0.00098 soooooo 0.00098 asleep 0.00074 lets 0.00018 objective 0.00016 sit 0.00016 fell 0.00015 feature 0.00015 watch 0.00015
31,0.25,0.3,9, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 buthole 0.00014 and3 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,10, stealer 0.00098 repetitous 0.00098 counterfeit 0.00098 maxed 0.00095 ocarina 0.00094 fake 0.0007 negative 0.00056 reward 0.00018 positive 0.00017 zelda 0.00016
31,0.25,0.3,11, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 buthole 0.00014 and3 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,12, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 buthole 0.00014 and3 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,13, tears 0.00098 tradeskills 0.00098 unexplicably 0.00098 acquire 0.00094 insane 0.00082 dry 0.00078 brain 0.00063 drives 0.00061 killing 0.00017 spells 0.00016
31,0.25,0.3,14, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 and3 0.00014 buthole 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,15, quot 0.00851 grandia 0.00497 combat 0.00452 boring 0.00309 interesting 0.00295 50 0.00254 long 0.00252 rpg 0.0024 possesses 0.00219 quests 0.00195
31,0.25,0.3,16, parappa 0.00632 rapper 0.00321 trash 0.00283 catchy 0.00247 noodles 0.00245 songs 0.0023 midget 0.00168 dancing 0.00168 umjammer 0.00167 trilogy 0.00147
31,0.25,0.3,17, spells 0.00369 kr 0.00305 usb 0.00304 singstar 0.00232 mics 0.00232 karaoke 0.00232 song 0.00231 rocks 0.00229 useful 0.00219 useless 0.00209
31,0.25,0.3,18, drivers 0.00167 complicated 0.0015 diferent 0.00139 test 0.00126 freak 0.00097 pesonal 0.00097 gts 0.00097 viper 0.00097 coloring 0.00096 reflections 0.00095
31,0.25,0.3,19, dungeon 0.00976 zelda 0.00345 ugh 0.00241 tunnels 0.00237 mystery 0.00228 town 0.0019 supplies 0.00163 mystic 0.00162 randomized 0.00162 baroque 0.00162
31,0.25,0.3,20, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 buthole 0.00014 and3 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,21, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 and3 0.00014 buthole 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,22, playstation2 0.0035 tax 0.00134 newbies 0.00098 cooled 0.00097 wastes 0.00097 plugs 0.00097 discs 0.0009 shutter 0.0009 glasses 0.00073 495 0.00045
31,0.25,0.3,23, gt3 0.01089 racing 0.00575 cars 0.00356 london 0.00289 gt 0.00246 positive 0.00173 instruction 0.00152 booklet 0.00152 laguna 0.00152 seca 0.00152
31,0.25,0.3,24, dragoon 0.01411 legend 0.01122 fantasy 0.00782 final 0.00686 combat 0.00488 generic 0.00457 psx 0.0028 outside 0.00264 transformations 0.00216 vii 0.00215
31,0.25,0.3,25, test 0.0054 lic 0.00277 pass 0.00265 challenge 0.00262 towns 0.00243 hrs 0.00243 zelda 0.00234 gta 0.00204 total 0.00194 servers 0.00189
31,0.25,0.3,26, humour 0.00014 repititive 0.00014 educational 0.00014 syetem 0.00014 freezing 0.00014 buthole 0.00014 and3 0.00014 waster 0.00014 challange 0.00014 insane 0.00014
31,0.25,0.3,27, songs 0.00598 microphones 0.00417 karaoke 0.00412 usb 0.00251 singstar 0.00232 mics 0.00232 atv 0.00232 vocals 0.00229 lead 0.00222 option 0.00216
