num_topics_Total,alpha,beta,topicoAct,words
33,2.0,2.0,0, love 0.00087 great 0.00053 fun 0.00044 bought 0.00044 buy 0.00035 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.0003 memory 0.00026
33,2.0,2.0,1, love 0.00099 great 0.00054 bought 0.00046 fun 0.00044 buy 0.00037 recommend 0.00033 loves 0.00033 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,2, love 0.0008 great 0.00049 bought 0.00043 fun 0.00042 buy 0.00035 recommend 0.00034 loves 0.00031 son 0.0003 kids 0.00029 memory 0.00026
33,2.0,2.0,3, love 0.00087 great 0.00051 fun 0.00044 bought 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.00029 memory 0.00026
33,2.0,2.0,4, love 0.00093 great 0.00052 fun 0.00045 bought 0.00044 buy 0.00037 recommend 0.00033 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,5, love 0.00088 great 0.0006 bought 0.00047 fun 0.00045 buy 0.00036 recommend 0.00034 loves 0.00033 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,6, love 0.00097 great 0.00051 fun 0.00045 bought 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,7, love 0.00086 great 0.00052 bought 0.00045 fun 0.00042 buy 0.00036 recommend 0.00033 loves 0.00031 son 0.0003 kids 0.00029 memory 0.00026
33,2.0,2.0,8, love 0.00085 great 0.00053 bought 0.00044 fun 0.00043 buy 0.00036 recommend 0.00034 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,9, love 0.00077 great 0.00053 fun 0.00046 bought 0.00045 buy 0.00037 recommend 0.00033 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,10, love 0.0009 great 0.00053 bought 0.00045 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.0003 memory 0.00026
33,2.0,2.0,11, love 0.00086 great 0.00052 bought 0.00044 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.0003 memory 0.00026
33,2.0,2.0,12, love 0.00086 great 0.00057 bought 0.00044 fun 0.00043 buy 0.00036 recommend 0.00034 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,13, love 0.00079 great 0.00054 fun 0.00043 bought 0.00043 buy 0.00035 recommend 0.00034 loves 0.00032 son 0.0003 kids 0.0003 memory 0.00026
33,2.0,2.0,14, love 0.00087 great 0.00056 bought 0.00045 fun 0.00045 buy 0.00036 recommend 0.00034 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,15, love 0.00091 great 0.0005 bought 0.00044 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.00031 kids 0.00029 memory 0.00026
33,2.0,2.0,16, love 0.00081 great 0.00051 bought 0.00045 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.00029 memory 0.00026
33,2.0,2.0,17, love 0.00089 great 0.00049 bought 0.00043 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.00031 kids 0.00029 memory 0.00026
33,2.0,2.0,18, love 0.00084 great 0.00054 bought 0.00044 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00031 son 0.0003 kids 0.0003 memory 0.00026
33,2.0,2.0,19, love 0.00081 great 0.00051 fun 0.00045 bought 0.00044 buy 0.00038 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.0003 memory 0.00026
33,2.0,2.0,20, game 0.05155 games 0.01498 mario 0.0145 like 0.01194 play 0.00937 fun 0.00862 just 0.00831 time 0.00783 great 0.00708 new 0.00695
33,2.0,2.0,21, 62 0.00175 60 0.00104 love 0.00087 great 0.00054 fun 0.00043 bought 0.00042 buy 0.00038 kids 0.00036 recommend 0.00032 loves 0.0003
33,2.0,2.0,22, love 0.00093 great 0.00053 fun 0.00049 bought 0.00043 buy 0.00036 recommend 0.00034 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,23, love 0.00091 great 0.00054 fun 0.00047 bought 0.00045 buy 0.00037 recommend 0.00034 loves 0.00032 son 0.00031 kids 0.0003 memory 0.00026
33,2.0,2.0,24, love 0.00083 great 0.0005 bought 0.00044 fun 0.00043 buy 0.00036 recommend 0.00033 loves 0.00032 son 0.0003 kids 0.00029 memory 0.00026
33,2.0,2.0,25, love 0.00078 great 0.00053 bought 0.00045 fun 0.00042 buy 0.00036 recommend 0.00034 loves 0.00032 son 0.0003 kids 0.0003 memory 0.00026
