num_topics_Total,alpha,beta,topicoAct,words
36,0.25,0.3,0, workout 0.01071 tracking 0.00491 training 0.00454 punches 0.00433 fireworks 0.00332 sweat 0.00321 exercise 0.00308 eyetoy 0.00289 tutorial 0.0028 sore 0.00236
36,0.25,0.3,1, vita 0.08696 uncharted 0.06046 ps 0.02437 drake 0.01666 touch 0.01454 handheld 0.01324 golden 0.00797 abyss 0.00656 portable 0.00623 gravity 0.00619
36,0.25,0.3,2, questions 0.01797 buzz 0.01513 buzzers 0.00635 trivia 0.00588 quiz 0.00521 question 0.00517 answer 0.00397 batteries 0.00391 buzzer 0.00383 quizzes 0.0032
36,0.25,0.3,3, gamei 0.00049 lotof 0.00048 thier 0.00034 cancer 0.00034 reinvented 0.00034 johnny 0.00034 purest 0.00033 gotti 0.00033 machiavelli 0.00033 luciano 0.00033
36,0.25,0.3,4, meanwhil 5e-05 scenaries 5e-05 husbands 5e-05 quanticdream 5e-05 module 5e-05 amo 5e-05 musta 5e-05 melancholic 5e-05 socoms 5e-05 timely 5e-05
36,0.25,0.3,5, cars 0.03534 racing 0.03252 car 0.02507 race 0.01779 tracks 0.01424 gran 0.01379 turismo 0.0135 driving 0.01101 races 0.01044 mode 0.00778
36,0.25,0.3,6, metal 0.04508 twisted 0.03678 black 0.02304 dark 0.00562 tm 0.00553 characters 0.00484 tooth 0.00438 fury 0.0041 vehicle 0.00371 vehicles 0.0035
36,0.25,0.3,7, id 0.00668 doom 0.00194 iam 0.00162 butt 0.00151 katamari 0.00149 murry 0.00149 bin 0.00148 japanese 0.00133 acctually 0.00132 freelook 0.00131
36,0.25,0.3,8, ferai 0.00064 djinn 0.00062 doa 0.00042 wraith 0.00034 whips 0.00034 claws 0.00022 flipped 0.00021 gangsta 0.00021 oct 0.00021 mates 0.00021
36,0.25,0.3,9, que 0.00988 el 0.00943 la 0.0085 es 0.00784 juego 0.00742 en 0.00642 los 0.00495 lo 0.00435 para 0.00387 muy 0.00338
