num_topics_Total,alpha,beta,topicoAct,words
18,0.9,0.9,0, time 0.16989 user 0.0844 long 0.03768 friendly 0.03124 intuitive 0.01685 interface 0.01444 link 0.0137 learning 0.01335 2008 0.01226 saves 0.01212
18,0.9,0.9,1, worked 0.05245 happy 0.03544 worth 0.02712 needs 0.02614 wish 0.01816 thanks 0.01765 make 0.01764 line 0.01626 feel 0.01614 experience 0.01534
18,0.9,0.9,2, need 0.07991 don 0.06716 does 0.06668 better 0.06496 did 0.06398 work 0.05814 know 0.03687 job 0.03184 excellent 0.03175 basic 0.02123
18,0.9,0.9,3, use 0.28228 easy 0.23092 makes 0.04592 simple 0.04035 step 0.03564 quick 0.02857 understand 0.01708 follow 0.01375 definitely 0.01037 instructions 0.00963
18,0.9,0.9,4, quicken 0.16381 mac 0.03801 data 0.0322 new 0.027 money 0.02317 financial 0.01972 windows 0.01937 features 0.01584 old 0.01581 pc 0.01198
18,0.9,0.9,5, download 0.05226 price 0.05171 amazon 0.04258 buy 0.03467 got 0.03381 purchase 0.02741 fast 0.01973 bought 0.01812 purchased 0.01478 right 0.01341
18,0.9,0.9,6, tax 0.17866 taxes 0.09127 turbo 0.08169 state 0.04697 return 0.03318 file 0.02855 filing 0.02375 federal 0.0202 doing 0.0197 returns 0.01853
18,0.9,0.9,7, good 0.14464 product 0.125 little 0.04982 products 0.02586 expected 0.02456 quite 0.01926 overall 0.01832 tool 0.018 perfect 0.01769 exactly 0.01645
18,0.9,0.9,8, like 0.07981 works 0.0755 really 0.05563 able 0.05057 needed 0.0396 lot 0.03631 going 0.02517 easily 0.02186 quickly 0.02075 nice 0.01966
18,0.9,0.9,9, business 0.07588 quickbooks 0.06898 small 0.02879 accounting 0.02224 payroll 0.02206 home 0.02151 qb 0.01907 pro 0.01545 company 0.01408 service 0.01406
18,0.9,0.9,10, version 0.10085 upgrade 0.03717 intuit 0.03533 new 0.0226 2014 0.02147 deluxe 0.01702 2013 0.01633 reviews 0.01534 versions 0.01528 support 0.01393
18,0.9,0.9,11, program 0.14138 using 0.10858 ve 0.09455 way 0.05055 best 0.04863 think 0.02525 far 0.0211 tried 0.01916 say 0.01888 personal 0.0174
18,0.9,0.9,12, like 0.02032 accounts 0.01954 account 0.01934 track 0.01902 bank 0.01543 transactions 0.01446 things 0.01411 feature 0.01343 finances 0.01288 credit 0.01217
18,0.9,0.9,13, years 0.21854 used 0.15524 great 0.12725 product 0.08481 using 0.04442 recommend 0.04326 past 0.02169 10 0.02094 highly 0.01967 15 0.01108
18,0.9,0.9,14, problems 0.03231 update 0.02619 problem 0.02475 issues 0.02102 computer 0.02052 fine 0.01897 online 0.01806 updates 0.01665 install 0.01572 app 0.01388
18,0.9,0.9,15, software 0.21496 just 0.13606 love 0.07745 getting 0.03535 takes 0.01839 thank 0.01762 keeps 0.0148 trying 0.00939 fact 0.00936 clear 0.00886
18,0.9,0.9,16, year 0.26354 easier 0.05339 previous 0.02998 continue 0.02515 info 0.02353 helpful 0.02303 pleased 0.01902 ease 0.01768 accurate 0.01752 family 0.01098
18,0.9,0.9,17, turbotax 0.10497 information 0.0238 forms 0.02329 questions 0.0177 process 0.01739 income 0.01537 help 0.01529 tt 0.01287 deductions 0.01232 form 0.00983
