num_topics_Total,alpha,beta,topicoAct,words
23,2.0,2.0,0, love 0.00045 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,1, love 0.00045 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,2, game 0.04497 like 0.01236 play 0.00945 just 0.00856 games 0.0077 fun 0.00728 good 0.00705 great 0.00697 really 0.00649 time 0.00624
23,2.0,2.0,3, love 0.00045 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,4, love 0.00044 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,5, love 0.00046 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,6, love 0.00046 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,7, love 0.00045 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,8, love 0.0005 bought 0.00027 controller 0.00023 loves 0.00022 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,9, love 0.00044 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,10, love 0.00045 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,11, love 0.00045 bought 0.00027 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,12, love 0.00047 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,13, love 0.00048 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,14, love 0.00046 bought 0.00026 controller 0.00023 loves 0.00022 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,15, love 0.00042 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,16, love 0.00048 bought 0.00026 controller 0.00023 loves 0.00022 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,17, love 0.00047 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,18, love 0.00043 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,19, love 0.00045 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,20, love 0.00046 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,21, love 0.00044 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
23,2.0,2.0,22, love 0.00043 bought 0.00026 controller 0.00023 loves 0.00021 son 0.00021 recommend 0.00017 great 0.00015 kids 0.00015 awesome 0.00015 fun 0.00013
