num_topics_Total,alpha,beta,topicoAct,words
23,0.9,0.9,0, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,1, fight 0.01086 son 0.00776 loves 0.0068 boxing 0.00579 fighter 0.0038 night 0.00365 boxer 0.00359 punch 0.00314 gift 0.00276 windows 0.0027
23,0.9,0.9,2, game 0.06891 like 0.01765 play 0.01467 just 0.01264 games 0.01183 great 0.01083 good 0.01077 fun 0.01057 really 0.00974 time 0.00896
23,0.9,0.9,3, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,4, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,5, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,6, story 0.01148 character 0.00917 characters 0.00889 effect 0.00696 mass 0.00594 rpg 0.00519 age 0.00512 combat 0.00482 movie 0.0043 dragon 0.00427
23,0.9,0.9,7, cars 0.01737 racing 0.01604 car 0.01507 city 0.01056 race 0.01054 speed 0.00941 burnout 0.0078 driving 0.00652 street 0.00607 need 0.00573
23,0.9,0.9,8, dead 0.01225 space 0.01163 weapons 0.01065 story 0.00824 enemies 0.00802 halo 0.00591 shooter 0.00522 crysis 0.00492 weapon 0.00477 half 0.00402
23,0.9,0.9,9, madden 0.02675 football 0.0209 nfl 0.01073 ncaa 0.00808 season 0.00799 dynasty 0.00468 pass 0.00463 field 0.00458 defense 0.00457 franchise 0.00443
23,0.9,0.9,10, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,11, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,12, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,13, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,14, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,15, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,16, battlefield 0.01053 multiplayer 0.01035 missions 0.00974 maps 0.00865 bond 0.00855 weapons 0.00699 medal 0.00684 honor 0.00658 war 0.00645 enemy 0.00609
23,0.9,0.9,17, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,18, golf 0.01555 tiger 0.01033 ball 0.00725 courses 0.00641 woods 0.0059 swing 0.00524 course 0.00498 tour 0.00469 shot 0.00444 club 0.00343
23,0.9,0.9,19, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
23,0.9,0.9,20, sims 0.03736 new 0.01885 sim 0.01331 expansion 0.01328 pack 0.00942 like 0.00676 love 0.00674 house 0.00661 make 0.00544 family 0.00522
23,0.9,0.9,21, munch 0.0026 abe 0.00172 ty 0.00149 oddworld 0.00104 oddysee 0.00087 jak 0.00053 underrated 0.00046 platformer 0.00034 collectibles 0.00032 daxter 0.0003
23,0.9,0.9,22, recomend 8e-05 iexcl 7e-05 recomended 6e-05 everyday 6e-05 controller 6e-05 bought 6e-05 love 6e-05 penny 5e-05 awsome 5e-05 wireless 5e-05
