num_topics_Total,alpha,beta,topicoAct,words
28,0.25,0.3,0, zero 0.00572 sfii 0.004 drive 0.00388 track 0.00381 racers 0.00358 fe 0.00335 racing 0.00329 battle 0.00327 race 0.00268 cars 0.00208
28,0.25,0.3,1, meh 0.00013 minits 0.00013 borring 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,2, game 0.04901 games 0.01279 like 0.01276 just 0.01238 mario 0.01015 play 0.00767 time 0.0075 really 0.00661 graphics 0.00638 nintendo 0.00636
28,0.25,0.3,3, meh 0.00013 minits 0.00013 borring 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,4, meh 0.00013 minits 0.00013 borring 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,5, chapters 0.0016 cashing 0.00093 stoked 0.00093 24 0.00076 fanbase 0.00067 chapter 0.00015 fruit 0.00015 liking 0.00015 aimed 0.00014 calls 0.00014
28,0.25,0.3,6, meh 0.00013 minits 0.00013 borring 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,7, fox 0.02498 star 0.01753 wrestling 0.00705 flying 0.00633 goldeneye 0.00628 64 0.00515 foot 0.00483 adventures 0.00458 bad 0.00457 smackdown 0.00446
28,0.25,0.3,8, seller 0.00541 genesis 0.0034 sega 0.00213 pinball 0.00209 sonic 0.00199 condition 0.00188 era 0.00162 sd 0.00153 wasnt 0.00152 european 0.00149
28,0.25,0.3,9, sudoku 0.01079 gridmaster 0.00258 grid 0.00226 numbers 0.00197 input 0.0015 pen 0.00106 upper 0.00099 resuming 0.00094 brain 0.00086 soundtracks 0.00085
28,0.25,0.3,10, specail 0.00093 controll 0.00014 thier 0.00014 meh 0.00013 okay 0.00013 borring 0.00013 minits 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013
28,0.25,0.3,11, zelda 0.03689 link 0.01864 sword 0.01357 wind 0.00935 dungeons 0.00925 waker 0.00803 ocarina 0.00732 dungeon 0.0068 skyward 0.00477 twilight 0.00453
28,0.25,0.3,12, explode 0.0025 physics 0.00145 downloaded 0.00134 successors 0.00092 omb 0.00092 ricochets 0.00092 eshop 0.00092 easter 0.00092 klunky 0.00092 bob 0.00092
28,0.25,0.3,13, meh 0.00013 minits 0.00013 borring 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,14, meh 0.00013 borring 0.00013 minits 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,15, card 0.01721 memory 0.01032 blocks 0.00963 gamecube 0.00807 00 0.00658 cards 0.00653 1019 0.00596 byte 0.00502 nintendo 0.00488 mega 0.00463
28,0.25,0.3,16, meh 0.00013 borring 0.00013 minits 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,17, meh 0.00013 minits 0.00013 borring 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,18, catch 0.00149 minigames 0.00135 jump 0.00119 shot 0.00113 bamboo 0.00092 wannabe 0.00092 reflex 0.00092 kudos 0.00092 diversion 0.00092 previews 0.00092
28,0.25,0.3,19, man 0.00975 mega 0.00461 robot 0.00236 end 0.00194 fortress 0.00161 leaders 0.00161 die 0.00156 way 0.00132 beat 0.00131 health 0.00125
28,0.25,0.3,20, rare 0.00356 bfd 0.00163 chunky 0.00162 kiddy 0.00157 endless 0.00142 stopped 0.00136 shooter 0.00136 looked 0.00125 ur 0.00122 conker 0.00119
28,0.25,0.3,21, kong 0.02717 donkey 0.02665 banjo 0.0076 kazooie 0.0076 nintendo 0.00544 nes 0.00467 bananas 0.00448 level 0.00392 64 0.00352 browser 0.00331
28,0.25,0.3,22, dk 0.00413 mario 0.00413 mini 0.00305 donkey 0.00209 kong 0.00208 crippling 0.00175 venerable 0.00143 vandole 0.00143 spirits 0.00143 retrieve 0.00142
28,0.25,0.3,23, pokemon 0.00562 lv 0.00529 pikachu 0.0037 moves 0.00214 liked 0.00176 tm 0.00161 nosepass 0.00161 bullet 0.00161 cath 0.00161 treecko 0.00161
28,0.25,0.3,24, disturbing 0.0027 numerous 0.00228 movie 0.00189 extremely 0.00172 quests 0.00161 blair 0.00161 elitist 0.00161 fledged 0.0016 convince 0.00157 public 0.00157
28,0.25,0.3,25, meh 0.00013 borring 0.00013 minits 0.00013 crummy 0.00013 messy 0.00013 ps4 0.00013 corrupting 0.00013 evem 0.00013 vita 0.00013 allways 0.00013
28,0.25,0.3,26, quot 0.00376 mana 0.00279 unprime 0.00247 ring 0.00168 rotten 0.00167 sluggish 0.00162 mischief 0.00162 animated 0.00158 sword 0.00153 trick 0.00152
28,0.25,0.3,27, mario 0.01976 super 0.01348 levels 0.0112 bros 0.01091 new 0.00874 japanese 0.00613 series 0.00589 world 0.00491 japan 0.0043 nintendo 0.00371
