num_topics_Total,alpha,beta,topicoAct,words
33,2.0,2.0,0, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,1, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,2, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,3, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,4, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,5, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,6, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,7, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,8, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,9, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,10, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,11, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,12, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,13, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,14, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
33,2.0,2.0,15, love 0.00027 bought 0.00023 loves 0.00021 kids 0.00019 son 0.00018 recommend 0.00018 great 0.00017 works 0.00017 memory 0.00017 card 0.00017
