num_topics_Total,alpha,beta,topicoAct,words
33,0.25,0.3,0, soo 0.00296 rvd 0.00164 umm 0.0016 yu 0.00145 whoah 0.00116 gettin 0.00115 totaly 0.00105 im 0.00104 dah 0.00099 spraying 0.00091
33,0.25,0.3,1, blah 0.00329 mickey 0.0021 raider 0.00205 tomb 0.00196 bean 0.00172 tube 0.00163 usa 0.00116 heres 0.00096 princes 0.00096 yah 0.00094
33,0.25,0.3,2, pikmin 0.03488 tetris 0.02427 man 0.02232 mega 0.01597 dr 0.0151 blocks 0.00683 ship 0.00585 megaman 0.00566 olimar 0.00536 planet 0.0049
33,0.25,0.3,3, 5stars 0.00147 iffy 0.00063 electronically 0.00061 32x 0.00051 16x 0.00051 scarabs 0.00051 recalibration 0.00042 1o 0.00039 bloated 0.0003 yeaaaaah 0.00028
33,0.25,0.3,4, banjo 0.02194 rare 0.01545 kazooie 0.01333 conker 0.0131 n64 0.0065 tooie 0.00593 fur 0.00565 humor 0.00472 funny 0.00424 bad 0.00389
33,0.25,0.3,5, mario 0.16027 super 0.06071 bros 0.02099 levels 0.01615 world 0.01598 nintendo 0.01588 yoshi 0.01371 luigi 0.01215 bowser 0.01108 level 0.01101
33,0.25,0.3,6, wii 0.03954 fit 0.02586 board 0.0253 brain 0.02204 balance 0.01768 age 0.01541 exercise 0.01097 exercises 0.00887 training 0.00883 activities 0.00744
33,0.25,0.3,7, crosswords 0.00542 word 0.00433 crossword 0.00334 anagrams 0.0029 sooo 0.00253 heh 0.00232 lego 0.00199 shirt 0.00191 searches 0.00165 240 0.00159
33,0.25,0.3,8, pokemon 0.12773 battle 0.01552 red 0.01433 blue 0.01251 new 0.01114 gold 0.00987 white 0.00969 silver 0.00909 black 0.00873 catch 0.00788
33,0.25,0.3,9, sports 0.0427 tennis 0.02566 golf 0.02498 punch 0.01878 wii 0.01793 ball 0.01381 motion 0.01011 baseball 0.00953 bowling 0.00931 resort 0.00922
33,0.25,0.3,10, 8217 0.03878 8220 0.01189 8221 0.01161 rayman 0.01079 drill 0.00669 gamestop 0.00596 ill 0.00515 meteos 0.00344 globox 0.00244 dozer 0.00226
33,0.25,0.3,11, puzzles 0.07879 puzzle 0.05723 solve 0.02034 layton 0.01843 professor 0.01483 solving 0.01071 mystery 0.00761 hint 0.00634 curious 0.00633 starfy 0.00511
