Unnamed: 0,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
0,0.25,0.06,0.03,0.3,12
1,0.14,0.04,0.14,0.05,2
2,0.28,0.04,0.03,0.28,2
3,0.13,0.04,0.18,0.05,8
2192,0.25,0.02,0.02,0.36,12
2193,0.23,0.1,0.01,0.47,12
2194,0.25,0.02,0.02,0.36,12
2195,0.23,0.1,0.01,0.47,12
2196,0.31,0.2,0.02,0.12,2
2197,0.35,0.07,0.02,0.22,2
2198,0.31,0.2,0.02,0.12,2
2199,0.35,0.07,0.02,0.22,2
2200,0.75,0.01,0.01,0.02,2
2201,0.33,0.03,0.02,0.22,2
2202,0.41,0.06,0.03,0.03,2
2203,0.47,0.03,0.03,0.04,2
2204,0.1,0.09,0.03,0.28,12
2205,0.75,0.01,0.01,0.02,2
2206,0.33,0.03,0.02,0.22,2
2207,0.41,0.06,0.03,0.03,2
2208,0.47,0.03,0.03,0.04,2
2209,0.1,0.09,0.03,0.28,12
2210,0.48,0.02,0.1,0.02,2
2211,0.48,0.02,0.1,0.02,2
2212,0.21,0.07,0.03,0.26,12
2213,0.21,0.07,0.03,0.26,12
2214,0.34,0.02,0.03,0.34,2
2215,0.62,0.03,0.02,0.02,2
2216,0.44,0.28,0.02,0.02,2
2217,0.66,0.05,0.01,0.11,2
2218,0.48,0.04,0.05,0.05,2
2219,0.62,0.12,0.01,0.02,2
2220,0.34,0.02,0.03,0.34,2
2221,0.62,0.03,0.02,0.02,2
2222,0.44,0.28,0.02,0.02,2
2223,0.66,0.05,0.01,0.11,2
2224,0.48,0.04,0.05,0.05,2
2225,0.62,0.12,0.01,0.02,2
2226,0.48,0.11,0.02,0.05,2
2227,0.81,0.01,0.01,0.04,2
2228,0.48,0.11,0.02,0.05,2
2229,0.81,0.01,0.01,0.04,2
2230,0.28,0.5,0.01,0.02,6
2231,0.49,0.01,0.01,0.34,2
2232,0.28,0.5,0.01,0.02,6
2233,0.49,0.01,0.01,0.34,2
2234,0.53,0.03,0.04,0.02,2
2235,0.52,0.02,0.02,0.18,2
2236,0.43,0.03,0.03,0.03,2
2237,0.55,0.02,0.04,0.07,2
2238,0.53,0.03,0.04,0.02,2
2239,0.52,0.02,0.02,0.18,2
2240,0.43,0.03,0.03,0.03,2
2241,0.55,0.02,0.04,0.07,2
2242,0.68,0.02,0.02,0.02,2
2243,0.2,0.03,0.03,0.31,12
2244,0.68,0.02,0.02,0.02,2
2245,0.2,0.03,0.03,0.31,12
2246,0.55,0.02,0.02,0.05,2
2247,0.71,0.1,0.01,0.01,2
2248,0.51,0.13,0.02,0.02,2
2249,0.7,0.01,0.01,0.12,2
2250,0.47,0.03,0.03,0.14,2
2251,0.58,0.07,0.02,0.04,2
2252,0.46,0.14,0.04,0.1,2
2253,0.65,0.02,0.02,0.02,2
2254,0.25,0.02,0.02,0.31,12
2255,0.51,0.04,0.01,0.35,2
2256,0.65,0.03,0.01,0.08,2
2257,0.71,0.01,0.02,0.03,2
2258,0.56,0.02,0.03,0.14,2
2259,0.47,0.03,0.03,0.08,2
2260,0.86,0.01,0.01,0.02,2
2261,0.13,0.53,0.01,0.15,6
2262,0.57,0.02,0.02,0.02,2
2263,0.77,0.02,0.01,0.01,2
2264,0.55,0.02,0.02,0.05,2
2265,0.71,0.1,0.01,0.01,2
2266,0.51,0.13,0.02,0.02,2
2267,0.7,0.01,0.01,0.12,2
2268,0.47,0.03,0.03,0.14,2
2269,0.58,0.07,0.02,0.04,2
2270,0.46,0.14,0.04,0.1,2
2271,0.65,0.02,0.02,0.02,2
2272,0.25,0.02,0.02,0.31,12
2273,0.51,0.04,0.01,0.35,2
2274,0.65,0.03,0.01,0.08,2
2275,0.71,0.01,0.02,0.03,2
2276,0.56,0.02,0.03,0.14,2
2277,0.47,0.03,0.03,0.08,2
2278,0.86,0.01,0.01,0.02,2
2279,0.13,0.53,0.01,0.15,6
2280,0.57,0.02,0.02,0.02,2
2281,0.77,0.02,0.01,0.01,2
2282,0.8,0.02,0.01,0.04,2
2283,0.62,0.03,0.02,0.07,2
2284,0.66,0.02,0.02,0.02,2
2285,0.67,0.01,0.02,0.02,2
2286,0.64,0.02,0.01,0.06,2
2287,0.81,0.03,0.01,0.01,2
2288,0.6,0.05,0.02,0.03,2
2289,0.55,0.2,0.02,0.02,2
2290,0.37,0.06,0.03,0.04,2
2291,0.59,0.01,0.14,0.1,2
2292,0.52,0.05,0.03,0.06,2
2293,0.59,0.08,0.03,0.07,2
2294,0.36,0.04,0.03,0.14,2
2295,0.75,0.02,0.04,0.04,2
2296,0.58,0.02,0.02,0.06,2
2297,0.62,0.02,0.02,0.07,2
2298,0.43,0.03,0.03,0.05,2
2299,0.82,0.01,0.03,0.05,2
2300,0.34,0.4,0.02,0.03,6
2301,0.7,0.07,0.01,0.06,2
2302,0.44,0.02,0.03,0.29,2
2303,0.63,0.04,0.02,0.07,2
2304,0.65,0.03,0.04,0.08,2
2305,0.4,0.02,0.03,0.23,2
2306,0.27,0.03,0.03,0.27,2
2307,0.45,0.04,0.02,0.1,2
2308,0.55,0.04,0.02,0.03,2
2309,0.6,0.02,0.02,0.07,2
2310,0.86,0.01,0.01,0.02,2
2311,0.46,0.09,0.02,0.13,2
2312,0.41,0.03,0.03,0.03,2
2313,0.36,0.47,0.01,0.01,6
2314,0.56,0.06,0.03,0.03,2
2315,0.36,0.03,0.04,0.23,2
2316,0.66,0.02,0.02,0.02,2
2317,0.6,0.05,0.02,0.03,2
2318,0.51,0.03,0.03,0.22,2
2319,0.34,0.09,0.03,0.11,2
2320,0.76,0.04,0.01,0.12,2
2321,0.59,0.02,0.03,0.03,2
2322,0.46,0.03,0.02,0.07,2
2323,0.44,0.03,0.03,0.03,2
2324,0.61,0.01,0.01,0.21,2
2325,0.67,0.03,0.02,0.15,2
2326,0.42,0.03,0.04,0.29,2
2327,0.57,0.01,0.04,0.17,2
2328,0.49,0.02,0.05,0.14,2
2329,0.46,0.04,0.06,0.03,2
2330,0.63,0.03,0.02,0.04,2
2331,0.21,0.04,0.04,0.04,2
2332,0.2,0.03,0.03,0.24,12
2333,0.29,0.03,0.03,0.19,2
2334,0.13,0.04,0.04,0.1,2
2335,0.08,0.03,0.03,0.4,12
2336,0.09,0.03,0.03,0.4,12
2337,0.06,0.67,0.01,0.08,6
2338,0.32,0.51,0.01,0.05,6
2339,0.09,0.03,0.03,0.4,12
2340,0.06,0.67,0.01,0.08,6
2341,0.32,0.51,0.01,0.05,6
2342,0.38,0.09,0.02,0.28,2
2343,0.75,0.04,0.01,0.08,2
2344,0.55,0.02,0.02,0.03,2
2345,0.56,0.04,0.01,0.24,2
2346,0.58,0.06,0.02,0.06,2
2347,0.55,0.02,0.03,0.13,2
2348,0.52,0.01,0.02,0.2,2
2349,0.26,0.04,0.04,0.06,2
2350,0.72,0.01,0.01,0.02,2
2351,0.49,0.03,0.03,0.09,2
2352,0.38,0.02,0.04,0.15,2
2353,0.28,0.03,0.02,0.28,2
2354,0.21,0.02,0.02,0.39,12
2355,0.66,0.01,0.05,0.06,2
2356,0.39,0.02,0.01,0.41,12
2357,0.33,0.02,0.01,0.38,12
2358,0.67,0.1,0.01,0.04,2
2359,0.38,0.09,0.02,0.28,2
2360,0.75,0.04,0.01,0.08,2
2361,0.55,0.02,0.02,0.03,2
2362,0.56,0.04,0.01,0.24,2
2363,0.58,0.06,0.02,0.06,2
2364,0.55,0.02,0.03,0.13,2
2365,0.52,0.01,0.02,0.2,2
2366,0.26,0.04,0.04,0.06,2
2367,0.72,0.01,0.01,0.02,2
2368,0.49,0.03,0.03,0.09,2
2369,0.38,0.02,0.04,0.15,2
2370,0.28,0.03,0.02,0.28,2
2371,0.21,0.02,0.02,0.39,12
2372,0.66,0.01,0.05,0.06,2
2373,0.39,0.02,0.01,0.41,12
2374,0.33,0.02,0.01,0.38,12
2375,0.67,0.1,0.01,0.04,2
2376,0.49,0.02,0.05,0.08,2
2377,0.47,0.03,0.02,0.06,2
2378,0.49,0.02,0.05,0.08,2
2379,0.47,0.03,0.02,0.06,2
2380,0.65,0.12,0.01,0.05,2
2381,0.28,0.02,0.03,0.37,12
2382,0.38,0.02,0.04,0.18,2
2383,0.33,0.09,0.02,0.26,2
2384,0.65,0.12,0.01,0.05,2
2385,0.28,0.02,0.03,0.37,12
2386,0.38,0.02,0.04,0.18,2
2387,0.33,0.09,0.02,0.26,2
2388,0.44,0.28,0.02,0.02,2
2389,0.63,0.02,0.02,0.03,2
2390,0.45,0.02,0.34,0.01,2
2391,0.39,0.05,0.04,0.24,2
2392,0.29,0.03,0.03,0.19,2
2393,0.59,0.02,0.02,0.06,2
2394,0.7,0.03,0.01,0.02,2
2395,0.52,0.02,0.02,0.15,2
2396,0.58,0.11,0.01,0.15,2
2397,0.64,0.01,0.01,0.13,2
2398,0.43,0.01,0.01,0.41,2
2399,0.55,0.02,0.02,0.14,2
