Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
41776,0.03,0.12,0.03,0.07,0.05,0.07,0.05,0.03,0.03,0.08,0.04,0.03,0.04,0.16,0.06,0.03,0.03,0.03,0.03
41777,0.03,0.14,0.03,0.04,0.13,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.15,0.03,0.08,0.03,0.03,0.03,0.03
41778,0.04,0.06,0.02,0.22,0.06,0.02,0.01,0.02,0.04,0.06,0.04,0.03,0.04,0.16,0.06,0.06,0.02,0.02,0.02
41779,0.06,0.03,0.03,0.04,0.06,0.03,0.09,0.03,0.12,0.16,0.06,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.03
41780,0.14,0.11,0.02,0.28,0.04,0.02,0.04,0.02,0.02,0.03,0.02,0.05,0.04,0.03,0.05,0.03,0.02,0.02,0.02
41781,0.04,0.08,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.05,0.03,0.05,0.05,0.29,0.03,0.07,0.03,0.03,0.03
41782,0.04,0.2,0.03,0.06,0.04,0.03,0.06,0.03,0.03,0.12,0.03,0.03,0.03,0.03,0.1,0.03,0.03,0.03,0.03
41783,0.03,0.12,0.03,0.14,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.14,0.14,0.04,0.03,0.03,0.03
41784,0.05,0.08,0.03,0.2,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.17,0.03,0.03,0.03,0.03,0.03,0.06
41785,0.05,0.1,0.04,0.06,0.05,0.04,0.03,0.04,0.04,0.12,0.04,0.09,0.03,0.06,0.03,0.03,0.04,0.04,0.09
41786,0.19,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.07,0.04,0.04,0.07,0.04,0.04,0.04,0.04
41787,0.04,0.03,0.03,0.14,0.04,0.03,0.03,0.03,0.03,0.05,0.03,0.1,0.08,0.07,0.14,0.03,0.03,0.03,0.03
41788,0.02,0.13,0.01,0.26,0.02,0.01,0.07,0.01,0.01,0.06,0.01,0.02,0.04,0.21,0.05,0.02,0.01,0.01,0.03
41789,0.17,0.04,0.01,0.37,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.15,0.01,0.01,0.01,0.01,0.01
41790,0.04,0.05,0.08,0.05,0.06,0.03,0.03,0.08,0.03,0.03,0.03,0.1,0.03,0.03,0.18,0.03,0.03,0.03,0.03
41791,0.04,0.07,0.03,0.03,0.04,0.03,0.04,0.03,0.06,0.13,0.03,0.07,0.03,0.11,0.09,0.06,0.03,0.03,0.06
43297,0.02,0.08,0.02,0.09,0.07,0.06,0.05,0.02,0.02,0.02,0.02,0.06,0.17,0.21,0.02,0.02,0.02,0.02,0.02
43298,0.02,0.08,0.02,0.09,0.07,0.06,0.05,0.02,0.02,0.02,0.02,0.06,0.17,0.21,0.02,0.02,0.02,0.02,0.02
43299,0.04,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.16,0.04,0.05,0.05,0.04
43300,0.16,0.03,0.02,0.14,0.02,0.02,0.01,0.02,0.02,0.34,0.02,0.02,0.05,0.02,0.05,0.03,0.02,0.02,0.02
43301,0.04,0.04,0.04,0.06,0.1,0.04,0.04,0.07,0.05,0.06,0.04,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04
43302,0.04,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.16,0.04,0.05,0.05,0.04
43303,0.16,0.03,0.02,0.14,0.02,0.02,0.01,0.02,0.02,0.34,0.02,0.02,0.05,0.02,0.05,0.03,0.02,0.02,0.02
43304,0.04,0.04,0.04,0.06,0.1,0.04,0.04,0.07,0.05,0.06,0.04,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04
43305,0.31,0.01,0.02,0.15,0.18,0.01,0.09,0.01,0.01,0.05,0.01,0.01,0.01,0.09,0.01,0.04,0.01,0.01,0.01
43306,0.02,0.06,0.02,0.04,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.19,0.19,0.02,0.07,0.04,0.02,0.02,0.02
43307,0.17,0.03,0.02,0.1,0.07,0.04,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.04
43308,0.19,0.01,0.02,0.18,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.35,0.01,0.05,0.01,0.01,0.01
43309,0.01,0.02,0.01,0.03,0.4,0.04,0.14,0.01,0.02,0.03,0.02,0.01,0.08,0.02,0.07,0.04,0.01,0.01,0.01
43310,0.31,0.01,0.02,0.15,0.18,0.01,0.09,0.01,0.01,0.05,0.01,0.01,0.01,0.09,0.01,0.04,0.01,0.01,0.01
43311,0.02,0.06,0.02,0.04,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.19,0.19,0.02,0.07,0.04,0.02,0.02,0.02
