Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
4,0.11,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.1,0.09,0.04,0.08,1
5,0.03,0.02,0.02,0.02,0.06,0.02,0.02,0.44,0.02,0.14,0.02,0.04,12
6,0.02,0.03,0.01,0.01,0.26,0.01,0.01,0.38,0.04,0.02,0.01,0.03,12
7,0.02,0.02,0.02,0.02,0.13,0.05,0.11,0.3,0.02,0.04,0.03,0.02,12
8,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.24,0.04,0.04,14
9,0.07,0.08,0.04,0.04,0.04,0.04,0.05,0.16,0.04,0.04,0.04,0.04,12
10,0.07,0.03,0.03,0.06,0.09,0.03,0.05,0.24,0.03,0.1,0.04,0.04,12
11,0.07,0.02,0.01,0.02,0.04,0.04,0.02,0.35,0.08,0.09,0.02,0.07,12
12,0.29,0.08,0.01,0.01,0.03,0.01,0.01,0.42,0.01,0.02,0.01,0.01,12
13,0.15,0.02,0.02,0.02,0.17,0.02,0.07,0.18,0.02,0.11,0.02,0.02,12
14,0.13,0.03,0.03,0.03,0.14,0.07,0.05,0.04,0.09,0.03,0.03,0.03,6
15,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.05,0.06,0.06,0.05,12
16,0.08,0.04,0.04,0.04,0.03,0.03,0.05,0.22,0.04,0.04,0.04,0.04,12
17,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.16,0.05,0.04,0.04,0.04,12
18,0.3,0.02,0.01,0.01,0.05,0.02,0.02,0.33,0.04,0.01,0.01,0.03,12
19,0.04,0.01,0.04,0.01,0.32,0.04,0.08,0.21,0.01,0.07,0.01,0.01,6
20,0.09,0.12,0.1,0.03,0.04,0.03,0.04,0.13,0.04,0.03,0.03,0.04,12
21,0.15,0.02,0.01,0.01,0.02,0.01,0.02,0.52,0.03,0.01,0.01,0.03,12
22,0.06,0.03,0.13,0.02,0.03,0.02,0.02,0.07,0.26,0.13,0.02,0.03,13
23,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.07,0.04,12
24,0.05,0.06,0.03,0.08,0.04,0.03,0.03,0.23,0.03,0.06,0.03,0.09,12
25,0.19,0.03,0.02,0.02,0.03,0.02,0.03,0.37,0.02,0.02,0.02,0.05,12
26,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.22,0.04,0.04,14
27,0.04,0.05,0.04,0.04,0.05,0.04,0.08,0.21,0.04,0.04,0.04,0.04,12
28,0.04,0.04,0.02,0.03,0.2,0.03,0.19,0.03,0.03,0.05,0.03,0.03,6
29,0.11,0.05,0.03,0.03,0.03,0.02,0.03,0.36,0.02,0.06,0.03,0.02,12
30,0.04,0.04,0.05,0.04,0.04,0.08,0.04,0.04,0.04,0.19,0.04,0.08,14
31,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.06,0.01,0.04,12
32,0.12,0.06,0.03,0.03,0.09,0.03,0.11,0.13,0.03,0.03,0.03,0.03,12
33,0.07,0.03,0.03,0.02,0.07,0.02,0.05,0.26,0.11,0.02,0.02,0.06,12
34,0.15,0.06,0.02,0.02,0.06,0.02,0.11,0.28,0.02,0.03,0.01,0.09,12
35,0.07,0.06,0.04,0.04,0.23,0.04,0.04,0.05,0.04,0.03,0.04,0.05,6
36,0.04,0.08,0.04,0.05,0.09,0.04,0.04,0.2,0.04,0.04,0.04,0.04,12
37,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.16,0.09,0.04,0.04,0.04,12
38,0.09,0.07,0.07,0.03,0.06,0.05,0.04,0.16,0.04,0.03,0.03,0.03,12
39,0.28,0.02,0.01,0.01,0.26,0.01,0.01,0.17,0.01,0.1,0.01,0.01,1
40,0.04,0.03,0.05,0.03,0.07,0.03,0.04,0.04,0.04,0.03,0.03,0.13,15
41,0.08,0.04,0.14,0.04,0.06,0.04,0.05,0.04,0.04,0.12,0.04,0.04,3
42,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.04,0.04,0.04,0.04,12
43,0.04,0.1,0.03,0.04,0.11,0.04,0.04,0.08,0.04,0.08,0.03,0.05,6
44,0.04,0.07,0.03,0.03,0.16,0.03,0.04,0.21,0.03,0.04,0.03,0.03,12
45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,13
46,0.06,0.04,0.01,0.01,0.21,0.04,0.06,0.1,0.14,0.02,0.01,0.01,6
47,0.04,0.05,0.03,0.03,0.15,0.03,0.06,0.04,0.03,0.04,0.03,0.02,0
48,0.14,0.01,0.02,0.01,0.06,0.01,0.01,0.5,0.01,0.02,0.01,0.01,12
49,0.03,0.07,0.06,0.03,0.14,0.03,0.03,0.11,0.04,0.14,0.03,0.03,6
50,0.1,0.02,0.02,0.02,0.19,0.02,0.02,0.23,0.02,0.02,0.12,0.02,12
51,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4
52,0.08,0.08,0.06,0.03,0.09,0.03,0.03,0.09,0.1,0.11,0.03,0.03,14
53,0.07,0.11,0.09,0.03,0.06,0.03,0.08,0.1,0.07,0.03,0.03,0.09,2
54,0.04,0.03,0.04,0.04,0.11,0.03,0.04,0.12,0.04,0.03,0.04,0.09,15
55,0.05,0.04,0.04,0.05,0.08,0.04,0.05,0.05,0.07,0.1,0.05,0.04,14
56,0.15,0.04,0.02,0.01,0.22,0.04,0.01,0.21,0.01,0.1,0.01,0.01,6
57,0.02,0.02,0.02,0.02,0.12,0.03,0.06,0.42,0.02,0.02,0.02,0.02,12
58,0.08,0.02,0.02,0.02,0.13,0.04,0.16,0.12,0.02,0.02,0.02,0.02,11
59,0.32,0.01,0.03,0.01,0.05,0.03,0.03,0.27,0.02,0.08,0.02,0.01,1
60,0.02,0.01,0.02,0.01,0.03,0.04,0.02,0.42,0.01,0.07,0.01,0.07,12
61,0.02,0.03,0.02,0.02,0.21,0.04,0.03,0.37,0.02,0.04,0.02,0.04,12
62,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.19,0.04,0.1,14
63,0.12,0.02,0.02,0.02,0.17,0.05,0.02,0.22,0.02,0.02,0.03,0.02,12
64,0.2,0.04,0.02,0.02,0.15,0.02,0.04,0.28,0.02,0.02,0.02,0.02,12
65,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,0.04,0.04,15
66,0.37,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.07,0.06,0.02,0.02,1
67,0.03,0.03,0.05,0.03,0.08,0.03,0.03,0.41,0.03,0.03,0.03,0.03,12
68,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.14,0.08,0.04,0.04,0.08,12
69,0.14,0.02,0.03,0.02,0.31,0.02,0.03,0.14,0.02,0.06,0.02,0.02,6
70,0.04,0.05,0.02,0.02,0.05,0.02,0.06,0.23,0.03,0.22,0.02,0.03,12
71,0.12,0.01,0.04,0.02,0.16,0.02,0.05,0.17,0.02,0.2,0.02,0.02,14
72,0.02,0.02,0.02,0.02,0.44,0.02,0.03,0.14,0.02,0.08,0.02,0.02,6
73,0.07,0.09,0.04,0.04,0.08,0.04,0.04,0.11,0.06,0.08,0.04,0.04,12
74,0.16,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.09,0.04,0.04,1
75,0.02,0.11,0.02,0.02,0.15,0.02,0.02,0.27,0.04,0.04,0.02,0.04,12
76,0.1,0.02,0.03,0.02,0.22,0.03,0.02,0.21,0.02,0.02,0.02,0.02,6
77,0.31,0.03,0.01,0.01,0.02,0.01,0.04,0.2,0.04,0.03,0.01,0.02,1
78,0.38,0.02,0.01,0.02,0.11,0.01,0.03,0.24,0.01,0.09,0.01,0.01,1
79,0.04,0.02,0.01,0.01,0.24,0.03,0.04,0.32,0.02,0.03,0.01,0.03,12
80,0.02,0.02,0.02,0.02,0.06,0.02,0.05,0.33,0.11,0.02,0.02,0.09,12
81,0.14,0.07,0.04,0.04,0.06,0.03,0.03,0.1,0.04,0.09,0.04,0.03,1
