Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
4,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.1,0.09,0.04,0.04,0.04,0.08
5,0.04,0.03,0.02,0.02,0.03,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.44,0.02,0.14,0.03,0.02,0.02,0.04
6,0.09,0.02,0.03,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.38,0.04,0.02,0.03,0.01,0.01,0.03
7,0.04,0.02,0.02,0.02,0.02,0.02,0.13,0.02,0.03,0.05,0.02,0.11,0.3,0.02,0.04,0.05,0.03,0.03,0.02
8,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.24,0.06,0.04,0.04,0.04
9,0.04,0.07,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.16,0.04,0.04,0.07,0.04,0.04,0.04
10,0.03,0.07,0.03,0.03,0.03,0.06,0.09,0.03,0.03,0.03,0.03,0.05,0.24,0.03,0.1,0.03,0.03,0.04,0.04
11,0.04,0.07,0.02,0.01,0.02,0.02,0.04,0.03,0.02,0.04,0.02,0.02,0.35,0.08,0.09,0.02,0.03,0.02,0.07
12,0.01,0.29,0.08,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.02,0.02,0.02,0.01,0.01
13,0.02,0.15,0.02,0.02,0.04,0.02,0.17,0.02,0.02,0.02,0.03,0.07,0.18,0.02,0.11,0.02,0.03,0.02,0.02
14,0.05,0.13,0.03,0.03,0.03,0.03,0.14,0.03,0.03,0.07,0.08,0.05,0.04,0.09,0.03,0.03,0.05,0.03,0.03
15,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.05,0.06,0.05,0.05,0.06,0.05
16,0.1,0.08,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.05,0.22,0.04,0.04,0.04,0.04,0.04,0.04
17,0.05,0.06,0.05,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.05,0.16,0.05,0.04,0.04,0.05,0.04,0.04
18,0.1,0.3,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.02,0.33,0.04,0.01,0.01,0.01,0.01,0.03
19,0.04,0.04,0.01,0.04,0.01,0.01,0.32,0.01,0.02,0.04,0.01,0.08,0.21,0.01,0.07,0.01,0.02,0.01,0.01
20,0.04,0.09,0.12,0.1,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.13,0.04,0.03,0.03,0.04,0.03,0.04
21,0.04,0.15,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.52,0.03,0.01,0.01,0.04,0.01,0.03
22,0.02,0.06,0.03,0.13,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.02,0.07,0.26,0.13,0.02,0.03,0.02,0.03
23,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.1,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.11,0.04,0.07,0.04
24,0.03,0.05,0.06,0.03,0.03,0.08,0.04,0.03,0.03,0.03,0.03,0.03,0.23,0.03,0.06,0.03,0.03,0.03,0.09
25,0.02,0.19,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.37,0.02,0.02,0.04,0.08,0.02,0.05
26,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.22,0.04,0.04,0.04,0.04
27,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.08,0.21,0.04,0.04,0.04,0.04,0.04,0.04
28,0.02,0.04,0.04,0.02,0.03,0.03,0.2,0.02,0.02,0.03,0.03,0.19,0.03,0.03,0.05,0.13,0.03,0.03,0.03
29,0.03,0.11,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.36,0.02,0.06,0.03,0.03,0.03,0.02
30,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.19,0.04,0.06,0.04,0.08
31,0.06,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.06,0.02,0.01,0.01,0.04
32,0.03,0.12,0.06,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.06,0.11,0.13,0.03,0.03,0.04,0.04,0.03,0.03
33,0.07,0.07,0.03,0.03,0.02,0.02,0.07,0.03,0.02,0.02,0.02,0.05,0.26,0.11,0.02,0.02,0.03,0.02,0.06
34,0.02,0.15,0.06,0.02,0.01,0.02,0.06,0.02,0.02,0.02,0.03,0.11,0.28,0.02,0.03,0.02,0.03,0.01,0.09
35,0.04,0.07,0.06,0.04,0.04,0.04,0.23,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.07,0.04,0.04,0.05
36,0.05,0.04,0.08,0.04,0.04,0.05,0.09,0.04,0.04,0.04,0.04,0.04,0.2,0.04,0.04,0.04,0.04,0.04,0.04
37,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.16,0.09,0.04,0.04,0.04,0.04,0.04
38,0.05,0.09,0.07,0.07,0.03,0.03,0.06,0.03,0.03,0.05,0.03,0.04,0.16,0.04,0.03,0.05,0.07,0.03,0.03
39,0.02,0.28,0.02,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.1,0.01,0.01,0.01,0.01
40,0.09,0.04,0.03,0.05,0.03,0.03,0.07,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.17,0.04,0.03,0.13
41,0.04,0.08,0.04,0.14,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.12,0.04,0.06,0.04,0.04
42,0.05,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.04,0.04,0.04,0.06,0.04,0.04
43,0.03,0.04,0.1,0.03,0.03,0.04,0.11,0.03,0.04,0.04,0.11,0.04,0.08,0.04,0.08,0.05,0.04,0.03,0.05
44,0.04,0.04,0.07,0.03,0.03,0.03,0.16,0.03,0.03,0.03,0.03,0.04,0.21,0.03,0.04,0.03,0.04,0.03,0.03
45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05
