Unnamed: 0,1: Easy to Use  (Clear Steps),1: Works Fine (Fast),2: Recomendaría,5: Long-term users,6: Adapt from Previous Versions,8: Amazon purchase (price),11: Easy to Use,12: Online version (mobile app),15: Install/download problems,20: Turbo Tax,21: SO versions,23: Interface User friendly,Dom_Topic
41792,0.02,0.04,0.02,0.04,0.02,0.08,0.02,0.02,0.02,0.17,0.02,0.02,20
41793,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
41794,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
41795,0.03,0.03,0.03,0.11,0.03,0.03,0.07,0.03,0.03,0.11,0.03,0.03,5
41796,0.03,0.03,0.03,0.03,0.07,0.06,0.03,0.03,0.03,0.03,0.03,0.03,14
41797,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
41798,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.08,8
41799,0.03,0.03,0.03,0.12,0.06,0.06,0.03,0.03,0.03,0.09,0.03,0.03,5
41800,0.04,0.08,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.08,1
41801,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,18
41802,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,9
41803,0.02,0.02,0.02,0.06,0.06,0.05,0.02,0.05,0.03,0.08,0.02,0.02,17
41804,0.03,0.03,0.03,0.04,0.05,0.03,0.06,0.03,0.06,0.1,0.03,0.03,17
41805,0.04,0.04,0.04,0.16,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,5
41806,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3
41807,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3
41808,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.05,0.04,0.06,0.04,0.03,3
41809,0.03,0.05,0.03,0.07,0.08,0.03,0.03,0.03,0.03,0.09,0.03,0.03,7
41810,0.02,0.02,0.02,0.16,0.02,0.02,0.02,0.02,0.03,0.11,0.06,0.02,5
41811,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,2
41812,0.04,0.04,0.04,0.04,0.13,0.04,0.04,0.05,0.04,0.04,0.05,0.04,6
41813,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,9
41814,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.24,0.03,0.03,20
41815,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0
41816,0.03,0.03,0.03,0.03,0.06,0.05,0.03,0.03,0.04,0.03,0.03,0.06,7
41817,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,2
41818,0.03,0.03,0.03,0.1,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,5
41819,0.03,0.03,0.03,0.07,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.11,23
41820,0.04,0.04,0.04,0.04,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,6
41821,0.02,0.03,0.02,0.13,0.08,0.02,0.02,0.02,0.02,0.05,0.02,0.02,5
41822,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,13
41823,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.07,0.03,0.03,14
41824,0.03,0.06,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,13
41825,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
41826,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
41827,0.01,0.03,0.01,0.05,0.01,0.05,0.01,0.01,0.01,0.4,0.02,0.01,20
41828,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,2
41829,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,2
41830,0.03,0.03,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,4
41831,0.03,0.06,0.02,0.05,0.01,0.01,0.03,0.01,0.02,0.11,0.02,0.04,22
41832,0.03,0.08,0.04,0.03,0.04,0.03,0.08,0.03,0.03,0.07,0.03,0.04,1
41833,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.03,20
41834,0.07,0.01,0.01,0.05,0.01,0.01,0.04,0.01,0.09,0.29,0.01,0.01,20
41835,0.03,0.03,0.07,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,19
41836,0.03,0.03,0.03,0.14,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.12,5
41837,0.04,0.02,0.02,0.1,0.09,0.02,0.02,0.08,0.06,0.11,0.05,0.02,20
41838,0.02,0.02,0.01,0.01,0.02,0.03,0.05,0.02,0.02,0.15,0.03,0.02,20
41839,0.03,0.02,0.02,0.02,0.05,0.02,0.03,0.02,0.03,0.15,0.02,0.02,20
41840,0.03,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.14,0.03,0.03,20
41841,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
41842,0.03,0.03,0.03,0.06,0.03,0.21,0.03,0.04,0.03,0.03,0.06,0.06,8
