Unnamed: 0,Quejas Mando(Bateria),Quejas Multijugador Halo,Quejas Halo,Dom_Topic
10824,0.01,0.01,0.96,7
10825,0.04,0.75,0.04,4
10829,0.9,0.01,0.02,1
10838,0.06,0.04,0.71,7
10853,0.05,0.04,0.66,7
10864,0.01,0.01,0.96,7
10865,0.04,0.75,0.04,4
10869,0.9,0.01,0.02,1
10878,0.06,0.04,0.71,7
10893,0.05,0.04,0.66,7
11685,0.07,0.03,0.74,7
11688,0.09,0.03,0.72,7
11689,0.01,0.01,0.94,7
11691,0.03,0.03,0.81,7
11695,0.03,0.02,0.84,7
11705,0.01,0.01,0.94,7
11712,0.03,0.03,0.8,7
11720,0.64,0.05,0.07,1
11729,0.01,0.01,0.96,7
11746,0.07,0.03,0.74,7
11749,0.09,0.03,0.72,7
11750,0.01,0.01,0.94,7
11752,0.03,0.03,0.81,7
11756,0.03,0.02,0.84,7
11766,0.01,0.01,0.94,7
11773,0.03,0.03,0.8,7
11781,0.64,0.05,0.07,1
11790,0.01,0.01,0.96,7
11875,0.04,0.03,0.79,7
11906,0.04,0.03,0.79,7
11922,0.02,0.02,0.88,7
11923,0.02,0.01,0.92,7
11928,0.01,0.01,0.94,7
11929,0.96,0.01,0.01,1
11930,0.01,0.01,0.93,7
11933,0.02,0.02,0.88,7
11934,0.02,0.01,0.92,7
11939,0.01,0.01,0.94,7
11940,0.96,0.01,0.01,1
11941,0.01,0.01,0.93,7
12755,0.87,0.02,0.03,1
12759,0.91,0.01,0.01,1
12760,0.96,0.01,0.01,1
12763,0.08,0.08,0.56,7
12765,0.87,0.02,0.03,1
12769,0.91,0.01,0.01,1
12770,0.96,0.01,0.01,1
12773,0.08,0.08,0.56,7
13717,0.02,0.02,0.87,7
13719,0.84,0.02,0.03,1
13725,0.05,0.04,0.69,7
13738,0.02,0.02,0.87,7
13740,0.84,0.02,0.03,1
13746,0.05,0.04,0.69,7
14701,0.94,0.01,0.01,1
14711,0.94,0.01,0.01,1
15521,0.02,0.01,0.9,7
15545,0.02,0.01,0.9,7
16999,0.02,0.02,0.85,7
17010,0.02,0.02,0.85,7
18760,0.91,0.01,0.02,1
18763,0.08,0.08,0.58,7
18765,0.98,0.0,0.0,1
18771,0.01,0.0,0.97,7
18795,0.91,0.01,0.02,1
18798,0.08,0.08,0.58,7
18800,0.98,0.0,0.0,1
18806,0.01,0.0,0.97,7
19862,0.01,0.01,0.95,7
19869,0.03,0.03,0.04,6
19871,0.01,0.01,0.95,7
19878,0.03,0.03,0.04,6
24567,0.95,0.01,0.01,1
24573,0.95,0.01,0.01,1
24583,0.03,0.03,0.82,7
24596,0.03,0.03,0.82,7
27908,0.02,0.02,0.91,7
27914,0.01,0.92,0.02,4
27918,0.01,0.01,0.93,7
27930,0.03,0.04,0.82,7
27935,0.05,0.02,0.81,7
27957,0.44,0.07,0.1,1
27968,0.02,0.02,0.91,7
27974,0.01,0.92,0.02,4
27978,0.01,0.01,0.93,7
27990,0.03,0.04,0.82,7
27995,0.05,0.02,0.81,7
28017,0.44,0.07,0.1,1
28023,0.0,0.0,0.97,7
28025,0.01,0.01,0.94,7
28028,0.02,0.02,0.86,7
28034,0.0,0.0,0.97,7
28036,0.01,0.01,0.94,7
28039,0.02,0.02,0.86,7
29124,0.0,0.0,0.99,7
29131,0.01,0.95,0.01,4
29146,0.0,0.0,0.99,7
29153,0.01,0.95,0.01,4
30533,0.35,0.04,0.44,7
30535,0.03,0.01,0.9,7
30541,0.03,0.02,0.85,7
44652,0.7,0.05,0.07,1
54057,0.76,0.03,0.04,1
54066,0.48,0.06,0.08,1
54068,0.89,0.02,0.02,1
54098,0.84,0.02,0.03,1
54118,0.85,0.02,0.02,1
54121,0.95,0.01,0.01,1
54167,0.81,0.03,0.03,1
54209,0.72,0.04,0.07,1
54230,0.37,0.01,0.57,7
54255,0.93,0.01,0.01,1
54256,0.68,0.04,0.1,1
54269,0.81,0.02,0.08,1
54294,0.79,0.03,0.03,1
54331,0.69,0.05,0.07,1
55556,0.07,0.01,0.87,7
