Unnamed: 0,1: Halo 2,2: Limited Editions,3: Madden,8: Controller,9: Kinect,Dom_Topic
10816,0.24,0.02,0.62,0.03,0.01,3
10817,0.13,0.02,0.65,0.07,0.02,3
10818,0.19,0.05,0.45,0.05,0.05,3
10819,0.09,0.03,0.7,0.03,0.03,3
10820,0.11,0.05,0.47,0.1,0.04,3
10821,0.25,0.05,0.36,0.06,0.05,3
10822,0.1,0.06,0.37,0.07,0.06,3
10823,0.24,0.08,0.15,0.08,0.07,1
10826,0.05,0.02,0.79,0.03,0.02,3
10827,0.1,0.07,0.24,0.07,0.08,3
10828,0.5,0.01,0.4,0.04,0.01,1
10830,0.24,0.06,0.33,0.07,0.05,3
10831,0.36,0.04,0.21,0.11,0.05,1
10832,0.31,0.03,0.45,0.03,0.03,3
10833,0.33,0.06,0.16,0.08,0.06,1
10834,0.1,0.02,0.68,0.04,0.03,3
10835,0.07,0.04,0.63,0.06,0.03,3
10836,0.32,0.05,0.29,0.05,0.04,1
10837,0.16,0.08,0.16,0.1,0.08,1
10839,0.19,0.03,0.59,0.04,0.03,3
10840,0.16,0.06,0.42,0.05,0.05,3
10841,0.14,0.05,0.45,0.07,0.05,3
10842,0.46,0.05,0.17,0.05,0.04,1
10843,0.18,0.07,0.14,0.16,0.09,1
10844,0.61,0.03,0.07,0.05,0.03,1
10845,0.17,0.03,0.63,0.03,0.03,3
10846,0.06,0.01,0.84,0.01,0.01,3
10847,0.05,0.02,0.82,0.02,0.02,3
10848,0.18,0.04,0.2,0.05,0.04,5
10850,0.13,0.03,0.67,0.03,0.02,3
10851,0.08,0.03,0.66,0.04,0.03,3
10852,0.03,0.01,0.87,0.01,0.01,3
10854,0.28,0.06,0.19,0.11,0.06,1
10855,0.27,0.08,0.18,0.09,0.06,1
10856,0.24,0.02,0.62,0.03,0.01,3
10857,0.13,0.02,0.65,0.07,0.02,3
10858,0.19,0.05,0.45,0.05,0.05,3
10859,0.09,0.03,0.7,0.03,0.03,3
10860,0.11,0.05,0.47,0.1,0.04,3
10861,0.25,0.05,0.36,0.06,0.05,3
10862,0.1,0.06,0.37,0.07,0.06,3
10863,0.24,0.08,0.15,0.08,0.07,1
10866,0.05,0.02,0.79,0.03,0.02,3
10867,0.1,0.07,0.24,0.07,0.08,3
10868,0.5,0.01,0.4,0.04,0.01,1
10870,0.24,0.06,0.33,0.07,0.05,3
10871,0.36,0.04,0.21,0.11,0.05,1
10872,0.31,0.03,0.45,0.03,0.03,3
10873,0.33,0.06,0.16,0.08,0.06,1
10874,0.1,0.02,0.68,0.04,0.03,3
10875,0.07,0.04,0.63,0.06,0.03,3
10876,0.32,0.05,0.29,0.05,0.04,1
10877,0.16,0.08,0.16,0.1,0.08,1
10879,0.19,0.03,0.59,0.04,0.03,3
10880,0.16,0.06,0.42,0.05,0.05,3
10881,0.14,0.05,0.45,0.07,0.05,3
10882,0.46,0.05,0.17,0.05,0.04,1
10883,0.18,0.07,0.14,0.16,0.09,1
10884,0.61,0.03,0.07,0.05,0.03,1
10885,0.17,0.03,0.63,0.03,0.03,3
10886,0.06,0.01,0.84,0.01,0.01,3
10887,0.05,0.02,0.82,0.02,0.02,3
10888,0.18,0.04,0.2,0.05,0.04,5
10890,0.13,0.03,0.67,0.03,0.02,3
10891,0.08,0.03,0.66,0.04,0.03,3
10892,0.03,0.01,0.87,0.01,0.01,3
10894,0.28,0.06,0.19,0.11,0.06,1
10895,0.27,0.08,0.18,0.09,0.06,1
11646,0.04,0.03,0.7,0.05,0.03,3
11648,0.21,0.06,0.34,0.09,0.07,3
11650,0.23,0.07,0.23,0.07,0.07,1
11651,0.01,0.0,0.95,0.01,0.0,3
11652,0.03,0.02,0.82,0.02,0.02,3
11653,0.07,0.05,0.58,0.06,0.04,3
11654,0.02,0.02,0.86,0.02,0.01,3
11655,0.05,0.01,0.83,0.02,0.02,3
11656,0.13,0.08,0.21,0.13,0.08,3
11657,0.08,0.05,0.45,0.11,0.05,3
11658,0.15,0.03,0.62,0.03,0.03,3
11659,0.02,0.01,0.92,0.01,0.01,3
11660,0.03,0.02,0.79,0.03,0.02,3
11661,0.07,0.03,0.61,0.1,0.03,3
11662,0.05,0.03,0.65,0.05,0.03,3
11664,0.04,0.03,0.7,0.05,0.03,3
11666,0.21,0.06,0.34,0.09,0.07,3
11668,0.23,0.07,0.23,0.07,0.07,1
11669,0.01,0.0,0.95,0.01,0.0,3
11670,0.03,0.02,0.82,0.02,0.02,3
11671,0.07,0.05,0.58,0.06,0.04,3
11672,0.02,0.02,0.86,0.02,0.01,3
11673,0.05,0.01,0.83,0.02,0.02,3
11674,0.13,0.08,0.21,0.13,0.08,3
11675,0.08,0.05,0.45,0.11,0.05,3
11676,0.15,0.03,0.62,0.03,0.03,3
11677,0.02,0.01,0.92,0.01,0.01,3
11678,0.03,0.02,0.79,0.03,0.02,3
11679,0.07,0.03,0.61,0.1,0.03,3
11680,0.05,0.03,0.65,0.05,0.03,3
11682,0.63,0.03,0.06,0.07,0.03,1
11683,0.81,0.02,0.03,0.03,0.02,1
11687,0.89,0.01,0.01,0.05,0.01,1
11690,0.72,0.03,0.08,0.03,0.02,1
11693,0.5,0.05,0.15,0.06,0.04,1
11694,0.35,0.06,0.15,0.09,0.06,1
11696,0.49,0.06,0.08,0.09,0.05,1
11697,0.68,0.03,0.1,0.02,0.03,1
11698,0.83,0.02,0.03,0.02,0.02,1
11699,0.59,0.03,0.06,0.16,0.03,1
11701,0.26,0.02,0.03,0.56,0.02,8
11702,0.74,0.03,0.04,0.03,0.03,1
11704,0.42,0.03,0.11,0.05,0.03,1
11706,0.22,0.09,0.14,0.08,0.08,1
11707,0.85,0.01,0.03,0.02,0.02,1
11709,0.27,0.03,0.04,0.04,0.45,9
11710,0.82,0.02,0.03,0.02,0.02,1
11711,0.93,0.01,0.01,0.01,0.01,1
11713,0.5,0.05,0.07,0.05,0.06,1
11715,0.54,0.03,0.21,0.05,0.03,1
11716,0.82,0.02,0.03,0.03,0.02,1
11717,0.51,0.05,0.07,0.05,0.07,1
11718,0.42,0.05,0.1,0.06,0.06,1
11719,0.28,0.06,0.17,0.11,0.06,1
11721,0.57,0.04,0.07,0.04,0.05,1
11723,0.51,0.02,0.28,0.04,0.02,1
11725,0.55,0.03,0.11,0.11,0.03,1
11726,0.72,0.03,0.06,0.03,0.03,1
11727,0.56,0.04,0.12,0.06,0.04,1
11728,0.85,0.01,0.04,0.02,0.02,1
11730,0.56,0.04,0.07,0.07,0.04,1
11731,0.58,0.01,0.31,0.02,0.02,1
11732,0.44,0.04,0.08,0.06,0.22,1
11733,0.83,0.01,0.06,0.01,0.02,1
11734,0.35,0.06,0.09,0.07,0.06,1
11735,0.85,0.01,0.04,0.02,0.01,1
11736,0.51,0.04,0.12,0.06,0.08,1
11737,0.48,0.05,0.1,0.07,0.04,1
11738,0.36,0.06,0.14,0.08,0.06,1
11739,0.63,0.04,0.1,0.04,0.03,1
11742,0.55,0.05,0.06,0.08,0.04,1
11743,0.63,0.03,0.06,0.07,0.03,1
11744,0.81,0.02,0.03,0.03,0.02,1
11748,0.89,0.01,0.01,0.05,0.01,1
11751,0.72,0.03,0.08,0.03,0.02,1
11754,0.5,0.05,0.15,0.06,0.04,1
11755,0.35,0.06,0.15,0.09,0.06,1
11757,0.49,0.06,0.08,0.09,0.05,1
11758,0.68,0.03,0.1,0.02,0.03,1
11759,0.83,0.02,0.03,0.02,0.02,1
11760,0.59,0.03,0.06,0.16,0.03,1
11762,0.26,0.02,0.03,0.56,0.02,8
11763,0.74,0.03,0.04,0.03,0.03,1
11765,0.42,0.03,0.11,0.05,0.03,1
11767,0.22,0.09,0.14,0.08,0.08,1
11768,0.85,0.01,0.03,0.02,0.02,1
11770,0.27,0.03,0.04,0.04,0.45,9
11771,0.82,0.02,0.03,0.02,0.02,1
11772,0.93,0.01,0.01,0.01,0.01,1
11774,0.5,0.05,0.07,0.05,0.06,1
11776,0.54,0.03,0.21,0.05,0.03,1
11777,0.82,0.02,0.03,0.03,0.02,1
11778,0.51,0.05,0.07,0.05,0.07,1
11779,0.42,0.05,0.1,0.06,0.06,1
11780,0.28,0.06,0.17,0.11,0.06,1
11782,0.57,0.04,0.07,0.04,0.05,1
11784,0.51,0.02,0.28,0.04,0.02,1
11786,0.55,0.03,0.11,0.11,0.03,1
11787,0.72,0.03,0.06,0.03,0.03,1
11788,0.56,0.04,0.12,0.06,0.04,1
11789,0.85,0.01,0.04,0.02,0.02,1
11791,0.56,0.04,0.07,0.07,0.04,1
11792,0.58,0.01,0.31,0.02,0.02,1
11793,0.44,0.04,0.08,0.06,0.22,1
11794,0.83,0.01,0.06,0.01,0.02,1
11795,0.35,0.06,0.09,0.07,0.06,1
11796,0.85,0.01,0.04,0.02,0.01,1
11797,0.51,0.04,0.12,0.06,0.08,1
11798,0.48,0.05,0.1,0.07,0.04,1
11799,0.36,0.06,0.14,0.08,0.06,1
