num_topics_Total,alpha,beta,topicoAct,words
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],0,"(0, '0.033*""form"" + 0.017*""tax"" + 0.017*""softwar"" + 0.015*""support"" + 0.014*""ir"" + 0.010*""r"" + 0.010*""help"" + 0.010*""call"" + 0.009*""question"" + 0.009*""block""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],1,"(1, '0.071*""return"" + 0.056*""file"" + 0.053*""softwar"" + 0.028*""block"" + 0.028*""print"" + 0.025*""r"" + 0.019*""tax"" + 0.018*""state"" + 0.016*""form"" + 0.016*""use""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],2,"(2, '0.021*""year"" + 0.020*""form"" + 0.019*""tax"" + 0.018*""taxcut"" + 0.017*""program"" + 0.014*""turbotax"" + 0.012*""use"" + 0.011*""return"" + 0.010*""enter"" + 0.008*""one""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],3,"(3, '0.163*""state"" + 0.057*""file"" + 0.043*""feder"" + 0.025*""return"" + 0.024*""includ"" + 0.024*""program"" + 0.018*""free"" + 0.018*""pay"" + 0.016*""one"" + 0.015*""charg""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],4,"(4, '0.037*""softwar"" + 0.034*""block"" + 0.032*""amazon"" + 0.021*""refund"" + 0.018*""onlin"" + 0.018*""hr"" + 0.016*""version"" + 0.016*""r"" + 0.014*""purchas"" + 0.012*""tax""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],5,"(5, '0.044*""employ"" + 0.038*""insur"" + 0.036*""self"" + 0.031*""health"" + 0.029*""tax"" + 0.028*""calcul"" + 0.028*""credit"" + 0.027*""deduct"" + 0.025*""block"" + 0.023*""program""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],6,"(6, '0.123*""import"" + 0.059*""data"" + 0.027*""inform"" + 0.027*""hrb"" + 0.025*""enter"" + 0.022*""turbotax"" + 0.019*""financi"" + 0.017*""tt"" + 0.016*""manual"" + 0.014*""support""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],7,"(7, '0.025*""updat"" + 0.021*""softwar"" + 0.019*""tri"" + 0.017*""support"" + 0.017*""download"" + 0.016*""problem"" + 0.016*""time"" + 0.014*""work"" + 0.014*""get"" + 0.013*""call""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],8,"(8, '0.069*""tax"" + 0.047*""year"" + 0.036*""use"" + 0.029*""r"" + 0.029*""turbo"" + 0.028*""softwar"" + 0.024*""block"" + 0.023*""turbotax"" + 0.012*""get"" + 0.011*""last""')"
10,"[0.14700113 0.10399261 0.15928252 0.12567163 0.10164502 0.03379504
 0.05550759 0.24027112 0.3575032  0.08445824]",[0.07920679 0.41583177 0.40341398 ... 0.07809664 0.0742932  0.07401665],9,"(9, '0.044*""instal"" + 0.026*""window"" + 0.023*""program"" + 0.018*""block"" + 0.017*""r"" + 0.017*""updat"" + 0.016*""mac"" + 0.015*""run"" + 0.014*""softwar"" + 0.014*""work""')"
15,"[0.18931411 0.08913686 0.12961556 0.04965073 0.08263943 0.02968854
 0.02537468 0.12261582 0.17897981 0.0884527  0.10548647 0.06375133
 0.08590756 0.08242696 0.09509064]",[0.05643436 0.15215564 0.1592699  ... 0.0533445  0.05334179 0.05333945],0,"(0, '0.024*""support"" + 0.021*""softwar"" + 0.019*""call"" + 0.014*""r"" + 0.014*""custom"" + 0.014*""form"" + 0.014*""hour"" + 0.014*""block"" + 0.012*""help"" + 0.012*""tax""')"
15,"[0.18931411 0.08913686 0.12961556 0.04965073 0.08263943 0.02968854
 0.02537468 0.12261582 0.17897981 0.0884527  0.10548647 0.06375133
 0.08590756 0.08242696 0.09509064]",[0.05643436 0.15215564 0.1592699  ... 0.0533445  0.05334179 0.05333945],1,"(1, '0.082*""return"" + 0.067*""file"" + 0.058*""softwar"" + 0.035*""print"" + 0.035*""state"" + 0.027*""form"" + 0.019*""tax"" + 0.017*""block"" + 0.016*""use"" + 0.013*""feder""')"
15,"[0.18931411 0.08913686 0.12961556 0.04965073 0.08263943 0.02968854
 0.02537468 0.12261582 0.17897981 0.0884527  0.10548647 0.06375133
 0.08590756 0.08242696 0.09509064]",[0.05643436 0.15215564 0.1592699  ... 0.0533445  0.05334179 0.05333945],2,"(2, '0.027*""form"" + 0.022*""year"" + 0.022*""tax"" + 0.016*""program"" + 0.014*""taxcut"" + 0.014*""enter"" + 0.011*""use"" + 0.010*""deduct"" + 0.010*""return"" + 0.010*""incom""')"
15,"[0.18931411 0.08913686 0.12961556 0.04965073 0.08263943 0.02968854
 0.02537468 0.12261582 0.17897981 0.0884527  0.10548647 0.06375133
 0.08590756 0.08242696 0.09509064]",[0.05643436 0.15215564 0.1592699  ... 0.0533445  0.05334179 0.05333945],3,"(3, '0.052*""program"" + 0.047*""money"" + 0.043*""file"" + 0.040*""wast"" + 0.022*""form"" + 0.022*""state"" + 0.020*""get"" + 0.018*""need"" + 0.017*""extens"" + 0.016*""paper""')"
15,"[0.18931411 0.08913686 0.12961556 0.04965073 0.08263943 0.02968854
 0.02537468 0.12261582 0.17897981 0.0884527  0.10548647 0.06375133
 0.08590756 0.08242696 0.09509064]",[0.05643436 0.15215564 0.1592699  ... 0.0533445  0.05334179 0.05333945],4,"(4, '0.056*""amazon"" + 0.047*""download"" + 0.043*""block"" + 0.039*""softwar"" + 0.031*""refund"" + 0.028*""code"" + 0.026*""purchas"" + 0.025*""hr"" + 0.020*""r"" + 0.015*""product""')"
15,"[0.18931411 0.08913686 0.12961556 0.04965073 0.08263943 0.02968854
 0.02537468 0.12261582 0.17897981 0.0884527  0.10548647 0.06375133
 0.08590756 0.08242696 0.09509064]",[0.05643436 0.15215564 0.1592699  ... 0.0533445  0.05334179 0.05333945],5,"(5, '0.053*""employ"" + 0.046*""insur"" + 0.043*""self"" + 0.038*""health"" + 0.035*""block"" + 0.033*""deduct"" + 0.033*""calcul"" + 0.032*""credit"" + 0.027*""tax"" + 0.025*""r""')"
