num_topics_Total,alpha,beta,topicoAct,words
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],0,"(0, '0.033*""form"" + 0.017*""deduct"" + 0.014*""incom"" + 0.013*""enter"" + 0.013*""return"" + 0.010*""data"" + 0.010*""need"" + 0.009*""item"" + 0.008*""interview"" + 0.008*""rental""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],1,"(1, '0.072*""price"" + 0.045*""amazon"" + 0.019*""buy"" + 0.019*""download"" + 0.018*""best"" + 0.014*""deal"" + 0.013*""packag"" + 0.013*""ship"" + 0.012*""wait"" + 0.012*""sale""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],2,"(2, '0.037*""tax"" + 0.021*""question"" + 0.020*""busi"" + 0.020*""step"" + 0.018*""program"" + 0.015*""get"" + 0.012*""person"" + 0.012*""help"" + 0.011*""form"" + 0.011*""ask""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],3,"(3, '0.191*""great"" + 0.147*""work"" + 0.143*""product"" + 0.130*""good"" + 0.071*""price"" + 0.036*""well"" + 0.033*""excel"" + 0.025*""job"" + 0.024*""expect"" + 0.017*""easi""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],4,"(4, '0.200*""turbo"" + 0.174*""tax"" + 0.036*""much"" + 0.026*""better"" + 0.022*""less"" + 0.022*""cheaper"" + 0.018*""job"" + 0.018*""switch"" + 0.017*""expens"" + 0.014*""cost""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],5,"(5, '0.105*""turbotax"" + 0.036*""r"" + 0.033*""block"" + 0.032*""tt"" + 0.030*""delux"" + 0.028*""switch"" + 0.022*""intuit"" + 0.018*""version"" + 0.017*""user"" + 0.017*""import""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],6,"(6, '0.060*""instal"" + 0.047*""download"" + 0.036*""updat"" + 0.023*""problem"" + 0.016*""work"" + 0.016*""softwar"" + 0.015*""program"" + 0.015*""window"" + 0.014*""run"" + 0.014*""r""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],7,"(7, '0.071*""amazon"" + 0.069*""download"" + 0.035*""fast"" + 0.034*""block"" + 0.032*""deal"" + 0.029*""refund"" + 0.027*""thank"" + 0.026*""r"" + 0.020*""purchas"" + 0.019*""softwar""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],8,"(8, '0.122*""state"" + 0.092*""file"" + 0.064*""return"" + 0.050*""feder"" + 0.037*""free"" + 0.019*""includ"" + 0.015*""mail"" + 0.014*""efil"" + 0.012*""print"" + 0.012*""one""')"
10,"[0.1891574  0.10777198 0.25042775 0.36758098 0.1482908  0.19566971
 0.12812828 0.13791215 0.1964539  1.7265457 ]",[0.24893339 0.15967391 0.22760566 ... 0.07289293 0.07277997 0.07422817],9,"(9, '0.097*""use"" + 0.090*""year"" + 0.066*""tax"" + 0.055*""softwar"" + 0.037*""easi"" + 0.034*""block"" + 0.034*""r"" + 0.016*""program"" + 0.011*""last"" + 0.010*""everi""')"
15,"[0.09280791 0.07878924 0.13761751 0.6839914  0.08037894 0.15263647
 0.25605786 0.1527994  0.14519458 0.22404653 1.0131974  0.11240745
 0.12355684 0.08760313 0.251217  ]",[0.09347899 0.07002941 0.18370405 ... 0.05244745 0.05244632 0.05244717],0,"(0, '0.112*""tt"" + 0.030*""item"" + 0.024*""stock"" + 0.015*""sale"" + 0.015*""deduct"" + 0.015*""donat"" + 0.013*""forward"" + 0.013*""handl"" + 0.013*""still"" + 0.012*""basic""')"
15,"[0.09280791 0.07878924 0.13761751 0.6839914  0.08037894 0.15263647
 0.25605786 0.1527994  0.14519458 0.22404653 1.0131974  0.11240745
 0.12355684 0.08760313 0.251217  ]",[0.09347899 0.07002941 0.18370405 ... 0.05244745 0.05244632 0.05244717],1,"(1, '0.150*""step"" + 0.106*""expect"" + 0.048*""hrb"" + 0.035*""walk"" + 0.032*""process"" + 0.025*""guid"" + 0.023*""perform"" + 0.021*""anyth"" + 0.021*""els"" + 0.019*""consist""')"
