num_topics_Total,alpha,beta,topicoAct,words
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],0,"(0, '0.099*""download"" + 0.063*""problem"" + 0.048*""instal"" + 0.043*""amazon"" + 0.028*""comput"" + 0.027*""purchas"" + 0.023*""went"" + 0.023*""updat"" + 0.019*""file"" + 0.017*""minut""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],1,"(1, '0.058*""account"" + 0.045*""bank"" + 0.043*""transact"" + 0.031*""credit"" + 0.026*""stock"" + 0.024*""invest"" + 0.024*""card"" + 0.022*""check"" + 0.022*""bill"" + 0.021*""app""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],2,"(2, '0.342*""tax"" + 0.103*""turbo"" + 0.029*""return"" + 0.027*""prepar"" + 0.025*""done"" + 0.022*""best"" + 0.019*""save"" + 0.017*""make"" + 0.014*""way"" + 0.014*""pay""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],3,"(3, '0.167*""product"" + 0.166*""great"" + 0.135*""work"" + 0.077*""good"" + 0.050*""well"" + 0.048*""price"" + 0.037*""excel"" + 0.030*""thank"" + 0.027*""job"" + 0.026*""expect""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],4,"(4, '0.027*""form"" + 0.026*""step"" + 0.025*""inform"" + 0.024*""turbotax"" + 0.021*""question"" + 0.021*""process"" + 0.017*""deduct"" + 0.017*""complet"" + 0.016*""tt"" + 0.016*""incom""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],5,"(5, '0.100*""issu"" + 0.088*""review"" + 0.071*""premier"" + 0.048*""qb"" + 0.044*""read"" + 0.025*""negat"" + 0.020*""bad"" + 0.020*""fix"" + 0.018*""star"" + 0.012*""ten""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],6,"(6, '0.202*""use"" + 0.163*""year"" + 0.091*""easi"" + 0.040*""turbotax"" + 0.031*""alway"" + 0.030*""everi"" + 0.029*""program"" + 0.027*""love"" + 0.023*""softwar"" + 0.017*""recommend""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],7,"(7, '0.028*""need"" + 0.028*""busi"" + 0.023*""time"" + 0.022*""quickbook"" + 0.019*""account"" + 0.018*""softwar"" + 0.017*""intuit"" + 0.015*""mac"" + 0.014*""help"" + 0.013*""make""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],8,"(8, '0.065*""quicken"" + 0.058*""version"" + 0.033*""like"" + 0.027*""new"" + 0.022*""upgrad"" + 0.021*""featur"" + 0.019*""money"" + 0.015*""updat"" + 0.015*""much"" + 0.014*""sinc""')"
10,"[0.6979394  0.41667524 1.1271387  1.2326499  1.0632226  0.34210274
 2.7652237  2.3518069  1.5972826  0.32163602]",[0.13907512 0.08362515 0.15380804 ... 0.06846269 0.06819022 0.06819359],9,"(9, '0.193*""file"" + 0.121*""state"" + 0.069*""return"" + 0.056*""feder"" + 0.053*""free"" + 0.042*""refund"" + 0.023*""includ"" + 0.022*""turbotax"" + 0.021*""fee"" + 0.019*""charg""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],0,"(0, '0.268*""download"" + 0.124*""instal"" + 0.111*""amazon"" + 0.038*""card"" + 0.026*""purchas"" + 0.025*""credit"" + 0.025*""store"" + 0.023*""minut"" + 0.016*""file"" + 0.016*""problem""')"
15,"[0.3824585  0.32565784 0.584639   1.2906264  1.864476   0.12192722
 3.2335844  0.4497929  0.35959446 1.4559896  0.22718397 4.31943
 0.20566913 0.29112238 0.43322155]",[0.06065613 0.05590554 0.06514952 ... 0.05185904 0.05185658 0.0518556 ],1,"(1, '0.115*""custom"" + 0.089*""support"" + 0.084*""servic"" + 0.041*""super"" + 0.038*""call"" + 0.031*""effici"" + 0.027*""phone"" + 0.024*""connect"" + 0.021*""worri"" + 0.021*""statement""')"
