num_topics_Total,alpha,beta,topicoAct,words
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],0,"(0, '0.038*""sim"" + 0.020*""like"" + 0.012*""one"" + 0.011*""get"" + 0.009*""would"" + 0.009*""go"" + 0.008*""play"" + 0.008*""crysi"" + 0.007*""control"" + 0.007*""make""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],1,"(1, '0.020*""car"" + 0.017*""race"" + 0.015*""like"" + 0.010*""speed"" + 0.009*""drive"" + 0.009*""play"" + 0.009*""get"" + 0.008*""even"" + 0.008*""time"" + 0.007*""graphic""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],2,"(2, '0.037*""bond"" + 0.031*""cup"" + 0.029*""world"" + 0.016*""fifa"" + 0.012*""window"" + 0.012*""jame"" + 0.010*""de"" + 0.010*""xp"" + 0.009*""nightfir"" + 0.009*""ep""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],3,"(3, '0.022*""play"" + 0.021*""player"" + 0.016*""ea"" + 0.013*""year"" + 0.013*""madden"" + 0.011*""team"" + 0.011*""mode"" + 0.010*""like"" + 0.009*""get"" + 0.008*""ball""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],4,"(4, '0.011*""enemi"" + 0.011*""level"" + 0.011*""time"" + 0.010*""weapon"" + 0.009*""one"" + 0.008*""get"" + 0.008*""kill"" + 0.007*""shoot"" + 0.007*""even"" + 0.007*""mission""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],5,"(5, '0.017*""pvp"" + 0.017*""ssx"" + 0.014*""passeng"" + 0.013*""wcw"" + 0.012*""wrestl"" + 0.008*""kitchen"" + 0.007*""tricki"" + 0.007*""district"" + 0.007*""train"" + 0.007*""club""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],6,"(6, '0.017*""charact"" + 0.016*""dragon"" + 0.015*""quest"" + 0.012*""rpg"" + 0.011*""age"" + 0.010*""even"" + 0.009*""good"" + 0.008*""combat"" + 0.008*""world"" + 0.006*""da2""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],7,"(7, '0.019*""like"" + 0.017*""play"" + 0.012*""realli"" + 0.010*""one"" + 0.010*""get"" + 0.009*""thing"" + 0.009*""good"" + 0.008*""fun"" + 0.008*""time"" + 0.008*""make""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],8,"(8, '0.046*""quot"" + 0.019*""get"" + 0.018*""medal"" + 0.017*""honor"" + 0.013*""moh"" + 0.010*""gun"" + 0.010*""ammo"" + 0.009*""profit"" + 0.009*""assault"" + 0.009*""ai""')"
10,"[0.1187965  0.10425892 0.02173611 0.11177994 0.1152704  0.01792181
 0.04384829 0.2715385  0.03025996 0.48066038]",[0.09551468 0.24036393 0.13338979 ... 0.07852797 0.08345611 0.08493701],9,"(9, '0.021*""play"" + 0.015*""ea"" + 0.012*""get"" + 0.009*""work"" + 0.008*""buy"" + 0.008*""time"" + 0.008*""citi"" + 0.007*""server"" + 0.007*""one"" + 0.007*""like""')"
