num_topics_Total,alpha,beta,topicoAct,words
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],0,"(0, '0.038*""race"" + 0.024*""track"" + 0.015*""mode"" + 0.011*""song"" + 0.009*""gt5"" + 0.008*""vehicl"" + 0.008*""danc"" + 0.007*""also"" + 0.007*""get"" + 0.007*""usb""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],1,"(1, '0.018*""control"" + 0.015*""play"" + 0.013*""like"" + 0.010*""ps3"" + 0.010*""use"" + 0.010*""get"" + 0.009*""one"" + 0.008*""look"" + 0.008*""feel"" + 0.008*""realli""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],2,"(2, '0.022*""charact"" + 0.020*""stori"" + 0.010*""power"" + 0.008*""like"" + 0.008*""infam"" + 0.007*""make"" + 0.007*""world"" + 0.007*""time"" + 0.007*""battl"" + 0.006*""well""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],3,"(3, '0.044*""player"" + 0.042*""onlin"" + 0.030*""multiplay"" + 0.023*""psp"" + 0.022*""killzon"" + 0.020*""play"" + 0.018*""campaign"" + 0.017*""singl"" + 0.015*""mode"" + 0.013*""level""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],4,"(4, '0.060*""god"" + 0.054*""war"" + 0.022*""krato"" + 0.016*""gow"" + 0.012*""hd"" + 0.011*""unchart"" + 0.010*""action"" + 0.010*""puzzl"" + 0.009*""epic"" + 0.008*""boss""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],5,"(5, '0.049*""quot"" + 0.021*""de"" + 0.017*""champion"" + 0.013*""commando"" + 0.013*""que"" + 0.013*""xp"" + 0.012*""la"" + 0.012*""conveni"" + 0.012*""el"" + 0.012*""level""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],6,"(6, '0.048*""play"" + 0.031*""fun"" + 0.030*""great"" + 0.022*""one"" + 0.020*""like"" + 0.018*""get"" + 0.017*""good"" + 0.017*""graphic"" + 0.016*""love"" + 0.014*""realli""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],7,"(7, '0.014*""mission"" + 0.013*""enemi"" + 0.009*""weapon"" + 0.009*""time"" + 0.008*""one"" + 0.008*""get"" + 0.007*""also"" + 0.007*""take"" + 0.006*""first"" + 0.006*""level""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],8,"(8, '0.186*""car"" + 0.057*""drive"" + 0.035*""race"" + 0.027*""turismo"" + 0.026*""gran"" + 0.025*""gt"" + 0.016*""real"" + 0.015*""wheel"" + 0.014*""olympus"" + 0.013*""realist""')"
10,"[0.16438577 2.0667922  0.5615186  0.22311807 0.1377404  0.0520966
 1.3816108  0.40873325 0.06973743 0.12634596]",[0.23653106 0.11131754 0.08111987 ... 0.07454231 0.07318838 0.07341223],9,"(9, '0.029*""get"" + 0.025*""peopl"" + 0.023*""citi"" + 0.013*""minecraft"" + 0.013*""go"" + 0.012*""mission"" + 0.012*""kill"" + 0.012*""want"" + 0.011*""around"" + 0.010*""auto""')"
15,"[0.13488157 1.9971689  0.1629423  0.0982305  0.09588449 0.05127757
 1.2319335  0.17682962 0.03933429 0.09078502 0.40379044 0.13078305
 0.2303315  0.07048344 0.02645112]",[0.16162615 0.08560897 0.06657986 ... 0.05389696 0.0538907  0.05389156],0,"(0, '0.067*""vita"" + 0.066*""car"" + 0.056*""race"" + 0.026*""track"" + 0.022*""drive"" + 0.013*""gran"" + 0.013*""turismo"" + 0.011*""gt5"" + 0.011*""mode"" + 0.009*""gt""')"
15,"[0.13488157 1.9971689  0.1629423  0.0982305  0.09588449 0.05127757
 1.2319335  0.17682962 0.03933429 0.09078502 0.40379044 0.13078305
 0.2303315  0.07048344 0.02645112]",[0.16162615 0.08560897 0.06657986 ... 0.05389696 0.0538907  0.05389156],1,"(1, '0.019*""control"" + 0.017*""play"" + 0.015*""like"" + 0.013*""get"" + 0.011*""use"" + 0.011*""ps3"" + 0.011*""one"" + 0.008*""time"" + 0.008*""look"" + 0.008*""realli""')"
15,"[0.13488157 1.9971689  0.1629423  0.0982305  0.09588449 0.05127757
 1.2319335  0.17682962 0.03933429 0.09078502 0.40379044 0.13078305
 0.2303315  0.07048344 0.02645112]",[0.16162615 0.08560897 0.06657986 ... 0.05389696 0.0538907  0.05389156],2,"(2, '0.016*""like"" + 0.016*""get"" + 0.016*""realli"" + 0.012*""time"" + 0.011*""music"" + 0.011*""thing"" + 0.011*""good"" + 0.011*""move"" + 0.010*""level"" + 0.010*""puzzl""')"
