num_topics_Total,alpha,beta,topicoAct,words
18,0.9,0.9,0, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 dont 0.0001 tony 0.0001
18,0.9,0.9,1, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 tony 0.0001 dont 0.0001
18,0.9,0.9,2, units 0.00401 rts 0.0033 unit 0.00222 build 0.00172 nod 0.00136 click 0.00136 westwood 0.00126 attack 0.00124 kane 0.00119 amp 0.00106
18,0.9,0.9,3, game 0.02264 ea 0.01813 play 0.00835 34 0.00806 drm 0.00804 buy 0.00741 pc 0.0059 city 0.00572 work 0.00515 computer 0.00492
18,0.9,0.9,4, blue 0.00134 devil 0.00131 red 0.00104 al 0.00095 white 0.00095 azurik 0.00082 nl 0.00081 stars3 0.00066 operative 0.00052 stars2 0.00051
18,0.9,0.9,5, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 dont 0.0001 tony 0.0001
18,0.9,0.9,6, game 0.04959 like 0.01346 just 0.01299 play 0.00853 games 0.00798 time 0.00745 really 0.00681 good 0.00648 don 0.00614 graphics 0.00514
18,0.9,0.9,7, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 dont 0.0001 tony 0.0001
18,0.9,0.9,8, quot 0.01763 creature 0.00713 pets 0.00269 white 0.00258 black 0.00211 pet 0.00205 wcw 0.00198 ring 0.00183 wrestling 0.00179 villagers 0.00149
18,0.9,0.9,9, harry 0.00419 potter 0.00344 hogwarts 0.00217 spells 0.00165 spell 0.00154 ron 0.0012 hp 0.00119 young 0.00096 hermione 0.00094 grounds 0.00091
18,0.9,0.9,10, la 0.00115 el 0.00095 que 0.0008 en 0.00077 es 0.00071 originality 0.00055 los 0.00051 fifa 0.00051 mas 0.0005 lo 0.00048
18,0.9,0.9,11, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 tony 0.0001 dont 0.0001
18,0.9,0.9,12, bond 0.0093 goldeneye 0.00341 shaq 0.00333 james 0.0028 nightfire 0.00274 agent 0.00251 007 0.00193 horror 0.00135 ultima 0.00133 rogue 0.00123
18,0.9,0.9,13, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 dont 0.0001 tony 0.0001
18,0.9,0.9,14, king 0.00315 orcs 0.00234 towers 0.00209 witch 0.00195 lord 0.0018 dante 0.00179 combos 0.00168 rings 0.00163 hack 0.00149 slash 0.00146
18,0.9,0.9,15, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 dont 0.0001 tony 0.0001
18,0.9,0.9,16, pgr 0.00011 trickey 0.00011 sucks 0.00011 fever 0.00011 havent 0.0001 pvz 0.0001 shouldnt 0.0001 rallisport 0.0001 tony 0.0001 dont 0.0001
18,0.9,0.9,17, park 0.00266 theme 0.00225 tycoon 0.00175 rollercoaster 0.00107 parks 0.00104 rides 0.00102 violent 0.00081 rct 0.00079 hospital 0.00064 violence 0.00062
