num_topics_Total,alpha,beta,topicoAct,words
31,2.0,2.0,0, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,1, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,2, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,3, game 0.05212 like 0.01344 just 0.01276 games 0.00847 time 0.00738 play 0.00717 good 0.00704 really 0.00692 don 0.00604 fun 0.00589
31,2.0,2.0,4, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,5, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,6, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,7, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,8, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,9, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,10, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
31,2.0,2.0,11, money 0.00019 bought 0.00019 dont 0.00018 controller 0.00018 boring 0.00018 waste 0.00018 buy 0.00018 disappointed 0.00018 sony 0.00018 horrible 0.00017
