num_topics_Total,alpha,beta,topicoAct,words
36,2.0,2.0,0, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,1, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,2, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,3, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,4, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,5, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,6, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,7, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,8, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,9, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,10, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,11, game 0.05017 like 0.01208 games 0.0114 just 0.00986 play 0.00905 great 0.00841 good 0.00774 fun 0.00774 really 0.00734 time 0.00691
36,2.0,2.0,12, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,13, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,14, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,15, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,16, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,17, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,18, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,19, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,20, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,21, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,22, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,23, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,24, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,25, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,26, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,27, love 0.0002 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
36,2.0,2.0,28, love 0.00021 vita 0.00016 bought 0.00016 great 0.00015 price 0.00015 recommend 0.00015 loves 0.00014 ps 0.00014 controller 0.00013 awesome 0.00013
