,overall,brand,price,reviewTime_y,reviewText,summary
0,1,Administaff HRTools,10.5,"01 3, 2011","Privacy issues. Out of date. Jan. 3, 2010 review: I started using Ultimate Employer by KnowledgePoint (now Administaff?) HR software in 1999? I swear they have NOT updated their software since then! As a small business, I rely on People Manager and it crashes my pc every time. When I call to ask if there is or will be an updated version they claim there is a new version. There never is, it's the same software. Intuit, yoohoo are you listening, we need HR software!","Out of Date, need update for 2011!"
1,1,Administaff HRTools,10.5,"08 1, 2002",Errors. This product is cumbersome - it is like something from the 1980's. I expected something useful and more up to date.,Dinosaur!
2,1,Administaff HRTools,10.5,"01 3, 2011","Mismatches. Jan. 3, 2010 review: I started using Ultimate Employer by KnowledgePoint (now Administaff?) HR software in 1999? I swear they have NOT updated their software since then! As a small business, I rely on People Manager and it crashes my pc every time. When I call to ask if there is or will be an updated version they claim there is a new version. There never is, it's the same software. Intuit, yoohoo are you listening, we need HR software!","Out of Date, need update for 2011!"
3,1,Administaff HRTools,10.5,"08 1, 2002","Not useful, errors. This product is cumbersome - it is like something from the 1980's. I expected something useful and more up to date.",Dinosaur!
2192,1,H & R Block,25.5,"11 23, 2003","will make you regret that you bought it.  It barely even ran on my Mac in Classic mode, and would not run at all in OS X, athough it states that it is supported.
I really can't say enough bad things about this application; even when I did get it running under Classic, the quality of the application was just awful.  Horrible unintuitive interfact, poor ""interview"" process, and poor results.  It's difficult to use if you can get it to run at all.  I will I could return it.
They should take this off the market... Do it right or not at all.","This application is very poor, full of bugs, and generally.."
2193,1,H & R Block,25.5,"01 20, 2003","I bought the previous version of this software sometime in 2002 only to find that it didn't run on Windows 2000. I ran it on Windows 98 only to find that if you entered any dates above the year 2000 that it would crash.
So onto the current version, well it still doesn't run under windows 2000. I reported the problem to Kiplinger and they said ask for a refund.
I'll be looking for my refund, I would suggest that you don't buy it in the first place.
As a side note the included manual/leaflet tells you to visit [...] to register your product and for support, unfortunately that isn't their website.
If you are curious as to what it does on windows 2000 here are the details. The program starts but never shows a window. If you look on the processes in task manager you will find willpower.exe running, in fact if you start the program many times you will find many of them there. So without a window showing you can't use it.",If it would run I might use it.
2194,1,H & R Block,25.5,"11 23, 2003","will make you regret that you bought it.  It barely even ran on my Mac in Classic mode, and would not run at all in OS X, athough it states that it is supported.
I really can't say enough bad things about this application; even when I did get it running under Classic, the quality of the application was just awful.  Horrible unintuitive interfact, poor ""interview"" process, and poor results.  It's difficult to use if you can get it to run at all.  I will I could return it.
They should take this off the market... Do it right or not at all.","This application is very poor, full of bugs, and generally.."
2195,1,H & R Block,25.5,"01 20, 2003","I bought the previous version of this software sometime in 2002 only to find that it didn't run on Windows 2000. I ran it on Windows 98 only to find that if you entered any dates above the year 2000 that it would crash.
So onto the current version, well it still doesn't run under windows 2000. I reported the problem to Kiplinger and they said ask for a refund.
I'll be looking for my refund, I would suggest that you don't buy it in the first place.
As a side note the included manual/leaflet tells you to visit [...] to register your product and for support, unfortunately that isn't their website.
If you are curious as to what it does on windows 2000 here are the details. The program starts but never shows a window. If you look on the processes in task manager you will find willpower.exe running, in fact if you start the program many times you will find many of them there. So without a window showing you can't use it.",If it would run I might use it.
2196,1,H&amp;R Block,35.9,"01 25, 2003","This software is unbelievably bad.  It appears to have been written for Windows 3.1, as it cannot deal with anything but 8.3 filenames.  The Okay button for many dialogs is absolutely huge and placed behind text entry fields -- must be seen to be believed.
The installer hangs at 99% or 100% under WinXP for at least 8 minutes, then proceeds.  It never exits, though, and must be killed with task manager.
I got this software bundled in the Money 2003 Suite, and paid a little extra to get it.  Don't know how I'm going to get my money back for it.",Was apparently written for Windows 3.1
2197,1,H&amp;R Block,35.9,"07 14, 2001","The forms can not be printed with blank lines to allow users to enter information on a printed copy.  Some documents are very crude and do not include any professional formatting (no headers to identify the document).  This looks like Windows 3.1 software!  It does not allow long file names and does not allow users to create folders when selecting ""File - Save As"".  The most professional part of this software is the installation utility!",Home & Business Attorney Software
2198,1,H&amp;R Block,35.9,"01 25, 2003","This software is unbelievably bad.  It appears to have been written for Windows 3.1, as it cannot deal with anything but 8.3 filenames.  The Okay button for many dialogs is absolutely huge and placed behind text entry fields -- must be seen to be believed.
The installer hangs at 99% or 100% under WinXP for at least 8 minutes, then proceeds.  It never exits, though, and must be killed with task manager.
I got this software bundled in the Money 2003 Suite, and paid a little extra to get it.  Don't know how I'm going to get my money back for it.",Was apparently written for Windows 3.1
2199,1,H&amp;R Block,35.9,"07 14, 2001","The forms can not be printed with blank lines to allow users to enter information on a printed copy.  Some documents are very crude and do not include any professional formatting (no headers to identify the document).  This looks like Windows 3.1 software!  It does not allow long file names and does not allow users to create folders when selecting ""File - Save As"".  The most professional part of this software is the installation utility!",Home & Business Attorney Software
2200,1,H&amp;R Block,15.9,"05 12, 2002","I do not do this too often, I usually try to remain positive. At this moment I am looking at my tax return that was returned to me by the IRS. I should have known that there might have been something wrong when the program asked me to find specific answers to my questions on the IRS web site. I use tax programs to help me file, given that I do not know all the current tax laws, I did not expect the program to ask me to find the answers to my own questions.
Taxcut took me twice as long to file then when I use Turbo Tax. Errors were hard to correct and manual corrections would void your ability to file electronicaly. A full day went into preparing my taxes and now I will have to spend another day redoing my taxes with Turbo Tax. I do not think I will ever use Taxcut again.
I would like to close this review on a positive note, but I can only say that I am positive that I will not use H&R's products again.",I should have known better...
2201,1,H&amp;R Block,15.9,"02 18, 2002","The program crashed all the time.  Tech support was a joke.  I tried the product on several computers and set it up different a couple of time.  Same results everytime, it crashed.  Spend the extra 5 bucks and buy turbo Tax.  I still can't beleive I bought this garbage, never again.",Piece of junk
2202,1,H&amp;R Block,15.9,"02 11, 2002",Found it difficut to follow and the first time through some entries were not correct and on the wrong lines.  After going back several times and very carefully checking the return is correct I hope.  It would have been much easier to have made the entries on the 1040 Forms.,Only good thing was the price
2203,1,H&amp;R Block,15.9,"02 5, 2002","This software was pathetic at best.  It made assumptions about certain forms and even tried to charge me self-employment Tax on almost $5000!  Good luck if you need to go back and make changes.. If you do you'll find yourself having to manually choose forms and fill them out without a walk through or any worthwhile help.
I hope I don't get audited!!",Former TurboTax User Regrets the Switch
2204,1,H&amp;R Block,15.9,"01 8, 2002","The product should not be released to the consumer.  I found sections in the application that said it was for testing purposes only and would be removed before production.  Live update reports that I have the latest version.  In addition, I get abnormal termination errors.  My system is very well maintained and I do NOT get errors with any other applications.
Would you thrust your taxes to such an application?",Incredibly POOR
2205,1,H&amp;R Block,15.9,"05 12, 2002","I do not do this too often, I usually try to remain positive. At this moment I am looking at my tax return that was returned to me by the IRS. I should have known that there might have been something wrong when the program asked me to find specific answers to my questions on the IRS web site. I use tax programs to help me file, given that I do not know all the current tax laws, I did not expect the program to ask me to find the answers to my own questions.
Taxcut took me twice as long to file then when I use Turbo Tax. Errors were hard to correct and manual corrections would void your ability to file electronicaly. A full day went into preparing my taxes and now I will have to spend another day redoing my taxes with Turbo Tax. I do not think I will ever use Taxcut again.
I would like to close this review on a positive note, but I can only say that I am positive that I will not use H&R's products again.",I should have known better...
2206,1,H&amp;R Block,15.9,"02 18, 2002","The program crashed all the time.  Tech support was a joke.  I tried the product on several computers and set it up different a couple of time.  Same results everytime, it crashed.  Spend the extra 5 bucks and buy turbo Tax.  I still can't beleive I bought this garbage, never again.",Piece of junk
2207,1,H&amp;R Block,15.9,"02 11, 2002",Found it difficut to follow and the first time through some entries were not correct and on the wrong lines.  After going back several times and very carefully checking the return is correct I hope.  It would have been much easier to have made the entries on the 1040 Forms.,Only good thing was the price
2208,1,H&amp;R Block,15.9,"02 5, 2002","This software was pathetic at best.  It made assumptions about certain forms and even tried to charge me self-employment Tax on almost $5000!  Good luck if you need to go back and make changes.. If you do you'll find yourself having to manually choose forms and fill them out without a walk through or any worthwhile help.
I hope I don't get audited!!",Former TurboTax User Regrets the Switch
2209,1,H&amp;R Block,15.9,"01 8, 2002","The product should not be released to the consumer.  I found sections in the application that said it was for testing purposes only and would be removed before production.  Live update reports that I have the latest version.  In addition, I get abnormal termination errors.  My system is very well maintained and I do NOT get errors with any other applications.
Would you thrust your taxes to such an application?",Incredibly POOR
2210,1,H&amp;R Block,16.9,"03 21, 2002","It is awful. The interview process asks all the easy, basic stuff, but when it comes to the tough parts like filling out schedules, you're on your own.
The ""free state software"" is not the business edition. It's for personal taxes. Pure deceit. And guess what? The only place you can buy the Business Tax State edition is through TaxCut for another [$$$].  Pure greed.",Don't buy this product
2211,1,H&amp;R Block,16.9,"03 21, 2002","It is awful. The interview process asks all the easy, basic stuff, but when it comes to the tough parts like filling out schedules, you're on your own.
The ""free state software"" is not the business edition. It's for personal taxes. Pure deceit. And guess what? The only place you can buy the Business Tax State edition is through TaxCut for another [$$$].  Pure greed.",Don't buy this product
2212,1,H&amp;R Block,25.5,"12 23, 2012","It is an older copy of Home & Business Attorney and I have a fairly new computer and it will not work.  I have Microsoft 7.  I got a note from the owner this week, but seems due to the fact that I opened the box, she cannot advertise it as new anymore.  I;have checked  my computer and nothing is wrong with it.  I am at a loss as what I need to do.",Home and Business Attorney not friendly for my computer
2213,1,H&amp;R Block,25.5,"12 23, 2012","It is an older copy of Home & Business Attorney and I have a fairly new computer and it will not work.  I have Microsoft 7.  I got a note from the owner this week, but seems due to the fact that I opened the box, she cannot advertise it as new anymore.  I;have checked  my computer and nothing is wrong with it.  I am at a loss as what I need to do.",Home and Business Attorney not friendly for my computer
2214,1,H&amp;R Block,25.5,"03 18, 2003","I have used TurboTax for the last 15 years (actually 5 years were MacinTax but that's beside the point), and never had a problem. Like everyone else I tried this program because of the price and the other ""issues"". This program locked up 35 times, and never downloaded any of the updates. I went to the website, download pages were not available, the customer feedback form was also not available, hmmm... Here's where it gets ""good"", I CAN order an update CD for only $5.95! OR...  Why do I feel like my ""value"" is going out the window? My advice, brave the spyware and get a product that works and won't suck your wallet dry.",DO NOT BUY THIS PROGRAM
2215,1,H&amp;R Block,25.5,"04 19, 2003","i had an almost identical experience as the person from Oregon...when using this software. I want to voice my utter disgust with this product.
After corrupting my tax data file TWICE with this product, and getting nothing from their technical support except ""start over"", and getting no idea as to why my submissions were rejected, i ended up manually printing out each form (which in itself wasn't straightforward), and sending snail-mail, TWO days after the tax deadline. The TaxCut people quickly agreed to refund me my $..., though thats zero consolation considering the money i'm going to lose from filing late with the IRS!!
i assure you, no matter how cheap they sell TaxCut, it is simply not worth it! it should not be trusted to handle official government documents. period.",:(
2216,1,H&amp;R Block,25.5,"04 13, 2003","TaxCut provides support via a long-distance number (Dallas, TX) not an 800 number. Their tech support online is useless unless you just need some hand holding. They promise e-mail Tech support in 48 hrs, but my request took over a week to get a non-satisfactory reply. I wanted to return this for a refund, you'll also find they make that difficult.
On a side note, if you were leaving TurboTax because of the spyware/spam associated with it, TaxCut may not be a good choice either. Read their privacy policy, they will sell your information to third parties.",Better hope you don't need support.
2217,1,H&amp;R Block,25.5,"04 11, 2003","I have used this program for the last three years, switching from TurboTax. I had always been happy with it so I bought it this year without looking on the Net to see if others were having troubles with it...  Yes, even bought the ""Platinum"" edition because I have a business.
  What a mistake. This new version is full of bugs (and judging from the Internet comments a quick search found, I mean REALLY full of bugs). Even though I bought it a few weeks ago, my install told me that I had a pre-January version -- so I started by having to update everything (since, the program told me, it couldn't even fill out some of the simple forms and process them without error).
  Six hours later after chugging through the forms, things started going haywire. My spouse was suddenly earning only about 10 percent of what I knew she'd earned (and which I had carefully entered on the form), my son (the program told me) needed to fill out a 1040 form of his own due to his earnings -- which I had not entered since he had none. Finding the form, I found he had ""earned"" a MINUS 7,000 some dollars.
Right.
  Then my withheld money couldn't be entered. And finally instead of owing money as I had expected, the program claimed the IRS owed me almost 10 grand.
Right.
  If you use this to do your taxes, be sure to add a ""go to jail"" button as the IRS will think you must be a crook when they see the form. It is a total mess of a program. I'm taking it back to the store and hoping I can find something that works before April 15, now that I've wasted a whole day fighting this blankity, blank poor excuse for a program.
  Never again will I buy TaxCut. The company has lost a formerly happy customer due to its almost criminally sloppy programming. --DL",TaxCut is full of bugs!
2218,1,H&amp;R Block,25.5,"04 7, 2003","Bought this because I didn't want the extra hidden software that installs with Turbo Tax.  It messed up the icons on my desktop, jumped back and forth when I entered data, continually returning to the box to enter my middle initial.  MUCH less straightforward than TurboTax, which I used last year and actually bought again this year.  I just gave up on TaxCut and chalked the wasted money up to a learning experience.",Absolute junk
2219,1,H&amp;R Block,25.5,"03 26, 2003","This program would not let me e-file.  It flagged an item it should not have and would not allow an e-file.  After multiple e-mails to the company and basically useless answers I purchased TaxAct that accepted and e-filed the data just fine.  I used Turbo-tax last year that also worked fine with the same situation.  Basically all three tax programs worked about the same for the data input part.
My situation was I needed to claim alimony during a seperation. The program flagged that I could not have the same Social Security Number for both a spouse and an alimony receipent.  I even had to refer to the IRS publication paragragh about this in an attempt to get a decent resolution out of the company.
This program did not perform as expected and the ""technical help"" was useless. I wasted time and money by (not) using this software and would buy something else if you don't have a very simple return.",Wouldn't buy if you want to E-File
2220,1,H&amp;R Block,25.5,"03 18, 2003","I have used TurboTax for the last 15 years (actually 5 years were MacinTax but that's beside the point), and never had a problem. Like everyone else I tried this program because of the price and the other ""issues"". This program locked up 35 times, and never downloaded any of the updates. I went to the website, download pages were not available, the customer feedback form was also not available, hmmm... Here's where it gets ""good"", I CAN order an update CD for only $5.95! OR...  Why do I feel like my ""value"" is going out the window? My advice, brave the spyware and get a product that works and won't suck your wallet dry.",DO NOT BUY THIS PROGRAM
2221,1,H&amp;R Block,25.5,"04 19, 2003","i had an almost identical experience as the person from Oregon...when using this software. I want to voice my utter disgust with this product.
After corrupting my tax data file TWICE with this product, and getting nothing from their technical support except ""start over"", and getting no idea as to why my submissions were rejected, i ended up manually printing out each form (which in itself wasn't straightforward), and sending snail-mail, TWO days after the tax deadline. The TaxCut people quickly agreed to refund me my $..., though thats zero consolation considering the money i'm going to lose from filing late with the IRS!!
i assure you, no matter how cheap they sell TaxCut, it is simply not worth it! it should not be trusted to handle official government documents. period.",:(
2222,1,H&amp;R Block,25.5,"04 13, 2003","TaxCut provides support via a long-distance number (Dallas, TX) not an 800 number. Their tech support online is useless unless you just need some hand holding. They promise e-mail Tech support in 48 hrs, but my request took over a week to get a non-satisfactory reply. I wanted to return this for a refund, you'll also find they make that difficult.
On a side note, if you were leaving TurboTax because of the spyware/spam associated with it, TaxCut may not be a good choice either. Read their privacy policy, they will sell your information to third parties.",Better hope you don't need support.
2223,1,H&amp;R Block,25.5,"04 11, 2003","I have used this program for the last three years, switching from TurboTax. I had always been happy with it so I bought it this year without looking on the Net to see if others were having troubles with it...  Yes, even bought the ""Platinum"" edition because I have a business.
  What a mistake. This new version is full of bugs (and judging from the Internet comments a quick search found, I mean REALLY full of bugs). Even though I bought it a few weeks ago, my install told me that I had a pre-January version -- so I started by having to update everything (since, the program told me, it couldn't even fill out some of the simple forms and process them without error).
  Six hours later after chugging through the forms, things started going haywire. My spouse was suddenly earning only about 10 percent of what I knew she'd earned (and which I had carefully entered on the form), my son (the program told me) needed to fill out a 1040 form of his own due to his earnings -- which I had not entered since he had none. Finding the form, I found he had ""earned"" a MINUS 7,000 some dollars.
Right.
  Then my withheld money couldn't be entered. And finally instead of owing money as I had expected, the program claimed the IRS owed me almost 10 grand.
Right.
  If you use this to do your taxes, be sure to add a ""go to jail"" button as the IRS will think you must be a crook when they see the form. It is a total mess of a program. I'm taking it back to the store and hoping I can find something that works before April 15, now that I've wasted a whole day fighting this blankity, blank poor excuse for a program.
  Never again will I buy TaxCut. The company has lost a formerly happy customer due to its almost criminally sloppy programming. --DL",TaxCut is full of bugs!
2224,1,H&amp;R Block,25.5,"04 7, 2003","Bought this because I didn't want the extra hidden software that installs with Turbo Tax.  It messed up the icons on my desktop, jumped back and forth when I entered data, continually returning to the box to enter my middle initial.  MUCH less straightforward than TurboTax, which I used last year and actually bought again this year.  I just gave up on TaxCut and chalked the wasted money up to a learning experience.",Absolute junk
2225,1,H&amp;R Block,25.5,"03 26, 2003","This program would not let me e-file.  It flagged an item it should not have and would not allow an e-file.  After multiple e-mails to the company and basically useless answers I purchased TaxAct that accepted and e-filed the data just fine.  I used Turbo-tax last year that also worked fine with the same situation.  Basically all three tax programs worked about the same for the data input part.
My situation was I needed to claim alimony during a seperation. The program flagged that I could not have the same Social Security Number for both a spouse and an alimony receipent.  I even had to refer to the IRS publication paragragh about this in an attempt to get a decent resolution out of the company.
This program did not perform as expected and the ""technical help"" was useless. I wasted time and money by (not) using this software and would buy something else if you don't have a very simple return.",Wouldn't buy if you want to E-File
2226,1,H&amp;R Block,35.5,"10 2, 2003","For several years up to 2002, I used TurboTax from Intuit - both the business and personal editions. Using TurboTax has been a pretty sucky semi-manual process that I've never been happy with. Believing some erroneous reviews (thanks for nothing Walt Mossberg from the WSJ), I vented my frustration by using TaxCut this year. It is horrific. It probably would have been easier to do my business returns by hand (even with having to look up calculations for depreciation). The other reviews cover most of the probs: it starts with trying to update the program and having it crash, continues through worksheets where you have to manually enter info that has already been entered elsewhere and a completely unintegrated (nonexistent?) help system, and ends where I had to go to the IRS and CA FTB sites to find the addresses to mail the reurns to.",Only software that makes TurboTax look good
2227,1,H&amp;R Block,35.5,"02 24, 2003","I started a parntership and a corporation this year and went to look for tax preparation software.  Tax Cut Home and Business was cheaper than the alternate Turbo Tax product.  The lower cost and the reviews I read on this site caused me to buy the Tax Cut Home and Business 2002, even though I have always used Turbo Tax for my personal taxes.  I received my Tax Cut last week and started to prepare my return.  Frequently the interview at Tax Cut just says ""fill in the form"".  Never in whole interview did the program mention how to handle my organizational costs (must be amortized over a minimum of five years).  After messing with that for an hour or so and getting poor results, I got back on Amazon.com and ordered Turbo Tax Business 2002, hoping it would be more like I am used to with the good interview that puts everything in the forms for you.  It arrived one week later and I installed it and prepared my partnership return and K-1's.  The Turbo Tax was great.  The interview upon asking if I started the partnership this year, then guided me through how to handle the organizational costs.  The interview never just said go ahead and fill in the forms, it asks you for everything and puts it in the form.  While the Turbo Tax cost a lot more, it was worth every penny.  The complaints about not being able to install it on other computers do not affect me, since I am using it on the one I have.  If you need it on multiple computers you have to buy additional licenses.  I highly recommend getting the Turbo Tax Business 2002 over Tax Cut Home and Business.  The ease of use and detailed interview process was worth every penny extra I had to spend.  My only wasted money was the worthless copy of Tax Cut I now own.",Don't waste your money
2228,1,H&amp;R Block,35.5,"10 2, 2003","For several years up to 2002, I used TurboTax from Intuit - both the business and personal editions. Using TurboTax has been a pretty sucky semi-manual process that I've never been happy with. Believing some erroneous reviews (thanks for nothing Walt Mossberg from the WSJ), I vented my frustration by using TaxCut this year. It is horrific. It probably would have been easier to do my business returns by hand (even with having to look up calculations for depreciation). The other reviews cover most of the probs: it starts with trying to update the program and having it crash, continues through worksheets where you have to manually enter info that has already been entered elsewhere and a completely unintegrated (nonexistent?) help system, and ends where I had to go to the IRS and CA FTB sites to find the addresses to mail the reurns to.",Only software that makes TurboTax look good
