,overall,brand,price,reviewTime_y,reviewText,summary
41776,4,"by
    
    H&R Block",80.99,"03 17, 2014","I've used this program for years and it is the most complete, the better of the choices on the market. The deductions list aren't the most thorough, I prefer going onto the IRS website for deductible expenses.",Have used it for years
41777,4,"by
    
    H&R Block",80.99,"03 17, 2014","I use the H&R Block Tax Software every year. I have not been disappointed, except with the Deduction Pro feature which used to be more integrated with the software.",Solid Product
41778,4,"by
    
    H&R Block",80.99,"03 17, 2014","The program guides you through the process and does an accuracy review as well as likelihood of audit analysis. I did my own taxes which included business expenses and felt the business part could have been more explicitly laid out. I also filed for my girlfriend who has limited income and the program did great job of including earned income credit which I had not encountered before based on my income level not qualifying. It was difficult to go back and ensure I had input withheld taxes properly. I was able to figure it out, however. My girlfriend had been told by the father of one of her children that she could deduct him but when we e-filed the IRS rejected because the child had already been claimed. We confirmed that was the case and it was easy (although financially less positive, of course) to revise file and resubmit to IRS. Overall, I am pleased. Have used for last 3 years now and likely to continue to use.",Easy to Use and E-File
41779,4,"by
    
    H&R Block",80.99,"03 17, 2014",This program is very good for most items I have. The only problem with it is not very good coverage on limited partnerships in the stock section. I would totally advise that this is a very good product aside from that.,Doesn't cover limited partnerships very well in the stock section.
41780,4,"by
    
    H&R Block",80.99,"03 11, 2014","The premium software did what I needed it to do.  I have been using H&R Block for a number of years so it pulled in last years info as a starting point.  The download worked and not issues were encountered.

I gave this a 4-star rating because the help info is so basic it is barely useful...consult the IRS website for more details.  It is easy to navigate the IRS website and find information.  Also, you have to download software in order to save the return as a PDF.",Good enough
41781,4,"by
    
    H&R Block",80.99,"03 11, 2014",Usually do my taxes by hand.  Had a new document this year that I wasn't sure how to handle.  The software walked me right through it.  Will probably buy again next year because it also saved me so much time.,Good product
41782,4,"by
    
    H&R Block",80.99,"03 7, 2014","Easy to setup and use.  If you are consistent with the product year over year, the import prior year data feature is very useful.",Easy to Use
41783,4,"by
    
    H&R Block",80.99,"03 6, 2014",I have been using H & R Block software for nearly 10 years.  It is easy to use and walks you through completing your taxes. It also has extra videos you can play if you need additional information about a topic and you can connect with an H & R Block professional to have specific questions answered.  I would recommend it.,Dependable software year after year
41784,4,"by
    
    H&R Block",80.99,"03 6, 2014","I have been using H&R Block for many years.  It works as expected, allows for the completion of multiple tax returns with electronic filing.  It allows me to complete my tax return, plus my children's, parents and sister with no problem.",Good product does what is expected
41785,4,"by
    
    H&R Block",80.99,"02 25, 2014",I have used this product for years and the program works great but trying to connect th the help website is a joke . (website not responding),great product help website terrible
41786,4,"by
    
    H&R Block",80.99,"02 23, 2014","no problem from download to installation. Program updates run well. Since I familiar with H&R, will use it this year.",all as expected
41787,4,"by
    
    H&R Block",80.99,"02 17, 2014",Easy to download and use.  Came with free federal files.  I use to do my small business taxes and this seems to get me the most refund back.,Easy to use
41788,4,"by
    
    H&R Block",80.99,"02 13, 2014","I've been using the H&R product for many years, as long as it has been available.  It works well and easy enough even for people like myself who have more complex tax situations with rentals, depreciation and stock sales.  It inputs last year's data as starting point for this year's taxes which is a major time saver.  I have close to 75% completion in one step since I keep the files and have good records.

My complaint would be that the help files used to be of a higher more complete quality. I used to spend a good deal of time going through the help files learning the tax code.  They have been dumbed down quite a bit.

I use the NY state program.  It uses almost all of the Fed data so completion is quite quick.

Electronic filing is pretty straight forward and I've used that method for years.  It does require you check and recheck that your return has been accepted.  I've never had a problem, but if anyone has, they should post here and let us know how it was resolved.",Easy enough to use.  Used to have better and more complete help files
41789,4,"by
    
    H&R Block",80.99,"02 4, 2014","This software is somewhat helpful in preparing the tax forms for my self-employment business, but it is also frustrating and confusing.  For me, the most valuable benefit of purchasing this Premium tax package is being able to get tax help and technical help from live people. After years of preparing my tax returns by hand, I find that entering data in the way that this software requests it is confusing.  That's probably just my issue.

Trying to submit a tax question through the web link provided in the software was an exercise in absolute frustration.  I think that Internet Explorer 11 was stopping my attempts to login at the Block site, but when I called Block for tech support the very polite man who tried to help me was unable to resolve this problem.

He did give me an alternative way to request tax help through the on-line tax prep site, but apparently, the on-line software asks for data input differently than the downloaded software, so the woman who was helping me was initially confused why I wasn't able to see the same screens she saw.  Fortunately, she consulted with a co-worker and was able to answer my question.

Correctly entering the particular data I was asking about required reading a note in a panel on the right side of the screen.  If I didn't have experience entering this data by hand in the past I would not have known that the software was perfectly willing to let me enter a deduction that exceeds IRS limits and legally it would have been my error, not Block's, because I didn't read the note in the side panel.  I will give Block kudos for knowing the correct dollar limit on this deduction even though the IRS has not yet released the publication that provides this limit and an IRS Help Line person was unable to provide it to me when I called.

We'll see what happens when we submit our return. Hoping not to get those adjustments by the IRS for errors that we've had in previous years.","Reasonable software, Good support"
41790,4,"by
    
    H&R Block",80.99,"01 25, 2014","Love it! Download available immediately after checkout completed.  Easy to follow easy to use, definately an A+++++.  Will use this again next year",Easy to use
41791,4,"by
    
    H&R Block",80.99,"01 9, 2014",Well the order was timely and easy - got the product - would give it five stars but since it is for taxes - NOTHING about taxes is worth more stars - have yet to use it - but I cannot see any problems from it - familiar with the old programs for this for years -,How you review taxes
43297,4,H&amp;R Block,15.9,"01 16, 2002","I have used TaxCut for 4 years and this will be my 5th.  I had taxes prepared by a professional for years and find this software asks the same questions he did...but without an hourly charge!  If you buy the non-final edition you can expect some idiosyncracies...it's best to wait until the final edition is published as tax laws change right up to December 31. This is True of ALL tax software.  The only thing I would change are some of the explanation screens; some seem not complete, and others are jargon-filled.  A good all-around buy for basic tax-prep!",Used it five years!
43298,4,H&amp;R Block,15.9,"01 16, 2002","I have used TaxCut for 4 years and this will be my 5th.  I had taxes prepared by a professional for years and find this software asks the same questions he did...but without an hourly charge!  If you buy the non-final edition you can expect some idiosyncracies...it's best to wait until the final edition is published as tax laws change right up to December 31. This is True of ALL tax software.  The only thing I would change are some of the explanation screens; some seem not complete, and others are jargon-filled.  A good all-around buy for basic tax-prep!",Used it five years!
43299,4,H&amp;R Block,25.5,"07 21, 2014",Valuable and useful information in an easy to understand format.,The next best thing to having an attorney on call.
43300,4,H&amp;R Block,25.5,"05 21, 2003","Generally a very useful product. I use it for small family business matters including leasing, liability releases, etc. In every case that I have created a document I have submitted it to our attorney for review before using the documents. And in every case our attorney has had only minor change suggestions. In large part these are due to local (state or other local) requirements. One improvement they could make would be to allow the software to adapt documents to comply with state laws. I also found the software to be occassionally un-stable and crash. This problem has persisted across two computers first with Windows 98 and later Windows XP. But it is still worth having.",Well worth the price
43301,4,H&amp;R Block,25.5,"12 30, 2002",This S/W is a very useful tool for a small business and home.,Very useful S/W for small business use
43302,4,H&amp;R Block,25.5,"07 21, 2014",Valuable and useful information in an easy to understand format.,The next best thing to having an attorney on call.
43303,4,H&amp;R Block,25.5,"05 21, 2003","Generally a very useful product. I use it for small family business matters including leasing, liability releases, etc. In every case that I have created a document I have submitted it to our attorney for review before using the documents. And in every case our attorney has had only minor change suggestions. In large part these are due to local (state or other local) requirements. One improvement they could make would be to allow the software to adapt documents to comply with state laws. I also found the software to be occassionally un-stable and crash. This problem has persisted across two computers first with Windows 98 and later Windows XP. But it is still worth having.",Well worth the price
43304,4,H&amp;R Block,25.5,"12 30, 2002",This S/W is a very useful tool for a small business and home.,Very useful S/W for small business use
43305,4,H&amp;R Block,25.5,"02 26, 2003","I used TurboTax last year but after reading the horror stories customers wrote about registering, I opted for TaxCut for 2002 (plus TaxCut is cheaper).  The initial installation went very smoothly.  I then downloaded the updated files and forms.  I have a cable connection but it took rather a long time.  During the download, the process seemed to stall for a long time but eventually everything downloaded and updated properly.  Doing the program itself was easy - you are taken through an ""interview"" process in which you are asked to supply the information and numbers required to complete your return.  Piece of cake!  I supplied the information, printed out my return and checked it over, and it looks good.  Throughout the session you are kept informed of what the program is trying to do, and are given applicable links to click if you (the user) needs more information about the interview item.
Negatives: I updated the forms and files before the interview process brought up the subject.  When the interview suggested it, I clicked the button again and it seemed like the program froze.  There was no download status or other status box telling me what happened and when I clicked on other links, nothing happened.  I couldn't close the program, either (Windows XP) - the only way I could get out was to tell XP to turn off the whole computer, not just the program.  Maybe this happened because I already downloaded the update?  I don't know.  The other negative is that during the final check it gave me a warning that my FICA withheld was more than the the 6.2% limit, but that was not the case.  Maybe a rounding error?  I don't know about that, either.  But those are the two ""problems"" I experienced.
Other than that, the program ran smoothly and was well worth the money.  If you don't have a really complex return (if you have something that complicated then you should be able to afford a live person), it does the job in a competent way.  TurboTax worked well for me last year, but I think I will stick with TaxCut from now on because (1) it is cheaper; (2) no registration nightmare; and (3) LESS annoying ads for other vendors.  While TaxCut tries to get you to subscribe to other services, etc., it seems much less obnoxious than TurboTax.",Easy to Use
43306,4,H&amp;R Block,25.5,"02 22, 2003","I first purchased taxcut 5 years ago when Turbo tax started getting to pricey,TaxCut is less expensive, and easy to use.
I ""bought"" Tax Cut along with Money 2003 to take advantage of the free offer,---rebates for purchase price of both---- However, even if the special offer would not have been available I would have purchased TaxCut anyway",Buy for free
43307,4,H&amp;R Block,25.5,"02 4, 2003","I switched this year, and am happy. Turbotax's interface is a little slicker, but they both do the same thing, and Taxcut does it cheaper. It imports from Quicken and handles E-filing, and basically works just like Turbotax. (Four stars vice five for the less-than-perfect interface and because I had to call tech support about a form problem.)
 They had an initial problem with the AMT form (6251) but have corrected it with the latest upgrade. No spyware, no arrogance, free tech support. Buy with confidence!",Best Value-- Beats Turbotax
43308,4,H&amp;R Block,25.5,"06 18, 2003","I can't really compare this software to others, but I can say that it did a pretty good job for me. Just spend about 20 minutes answering questions in the beginning, and it will do most of the rest. My tax return consisted of several jobs for both my wife and I, working in two different states, mutual fund and stock purchases and sales, interest and capital gains income, and a mortgage. I thought this would make my return to complicated for a comuter software, but everything I needed was here. Nad if for some reason you don't like what it does, you can manually change any entry. However, if you manually change entries, you will not be allowed to e-file.
I installed this on my desktop, and again on my laptop to do some work when my wife was working on the desktop. This worked fine. But there is no clear way of letting one computer know what you did on another computer, so multiple installations are for the most part useless.
The one thing I don't like is that it seemed like procrastinators are rewarded for their laziness in that this software gets cheaper the nearer you get to April 15th, to the point where it become free after rebate.",My first tax-prep software
43309,4,H&amp;R Block,25.5,"03 21, 2003","I, like many other former TurboTax users, purchased the TaxCut software expecting a lower quality product that would get the job done with minimal bells and whistles.  I found that TaxCut is not only visually appealing in a simplistic yet professional manner but it is also incredibly easy to use.  It takes care of the biggest chunk of work by being able to import your tax file from the previous year for either TaxCut or TurboTax software.  This made the transition to TaxCut practically transparent.  TaxCut has all the features and functionality you'd expect in tax software without the spyware hocus-pocus of TurboTax.  I suspect it will take Intuit a while to recover from their design screw up.  Of course, that will depend greatly on H&R Block's ability to enhance and more aggressively market TaxCut.  This is the stuff that open market competition strives for!  Highly Recommended!",Good enough to convert me
