,brand,overall,reviewText,summary
258,"by
    
    Electronic Arts",4,"I have to admit something, I love the way this game looks!  It is spectacular in the graphics sense, but the story just left me out to dry.  The orginal command and conquer storyline was way better.  The GDI missions  are a joke in this game and I have to say it...NOD RULEZ!  The NOD missions  are very fun to look at and play especially the evil HAL computer that  talks to you in the cool voice.  The game play units are completely  unbalanced!  On GDI side, all you have to do is amass a huge army of Tank  Mechs and you can destroy any base no matter how fortified it is.  On the  NOD side, amass a huge army of 30 mobile artillery and nobody can stand in  your way.  The game is worth buying to see how it looks, but the gameplay  is horrible and some of the missions are close to impossible which may  frustrate some novice players.  Ok Westwood you have provided the  interface, now quit slacking and give us a good story!","Ok we have the new look, now give us the GAME!"
259,"by
    
    Electronic Arts",5,Tiberian sun is an example of how a real time game should be.  Great campains where you can be either Nod or GDI.  This game also has great skrimishes.  Where you can play the computer on a diffrent level of  difficulty and can play anwhere from 1-7 enimies.  With alot of diffrent  units and buildings this game is not to be missed.,One of the best modern real time stragy
260,"by
    
    Electronic Arts",4,"This was the first C&amp;C game I ever purchased. I got this game when I wasn't playing much else apart from EVERQUEST, upon a friends recommendation. I wasn't to familiar with the C&amp;C franchise of RTS games from Westwood. Now I am a fan of the series.If you don't know, TIBERIAN SUN is a RTS about two military forces at odds with one another. The evil NOD, that wants to rule the world, while the honorable GDI wants to protect the world. The single player missions are on two discs. One is GDI and the other disc is the NOD single player missions. Both are quite fun and it helps you to learn the gameplay. I can't say I liked the full-motion-video sequences, but they are quite funny in an unintentional way!The online multiplayer is where the real fun of TIBERIAN SUN is at! There just is no way to describe winning a long 2 hour match online and not getting booted off!This is a good value for the money. It may not be as great as AGE OF EMPIRES or STARCRAFT, but TIBERIAN SUN is fun nonetheless. Enjoy!",Great fun! Many hours of enjoyment.
261,"by
    
    Electronic Arts",5,"Loved it!!! One of the best games in this genre. Good story, and even has the guy from the first Terminator who protects the woman (can't think of his name) as one of the main actors in the cutscenes, and James Earl Jones. High production values.  The game play is top notch.",Great Game
263,"by
    
    Electronic Arts",5,"I am writing this review from what i thought of it before red alert 2 came out.  this is a great game with a pretty good story line, though it lacks graphics.  Westwood online (the multiplayer sever) is also very good.  if your lookign to buy a good RTS i recomend red alert 2, but if you don't want to spend the money on RA@ this is still a great game.",Great game!!
267,"by
    
    Electronic Arts",5,"Well, it seems that those idiots who gave TS a low rating was because they  thought TS reused Red Alerts units. That is completely wrong . TS is set in  a futuristic world with advanced units. Red Alert was a PREQUEL to the  original C&amp;C and was set throughout the Cold War. TS does not use  standard tanks and the new units were made as it would have been seen in  the year TS took place which was 2030. This is especially true with GDI and  there titans, disruptors, firestrom defense, rpg towers, MMK II and a whole  lot more. Nod has has the cyborgs, underground units, and and the banshee  aircraft etc. Now, are these the same units from RA, i dont think so.  Westwood retained a couple of units from the original C&amp;C such as the  devil's tougue and light tank but they upgraded the functions of these  units to please gamers. Nothing from this game was copied from RA- trust  me. As for Starcraft some say its better than TS and some say it isnt. I  personally hate that game. Its way more complex to understand than TS  simple interface, no deformidable terrain, you have to RIGHT CLICK to  deselect units (very awkward), structures take extremely long to build - as  well as units, those same structures look like they have legs(terran  barracks and engineering bay). I also have no idea what the storyline is  about (no real actors - jus  bad FMVs).I could name a whole lot more but it  would take up too much space in this review. The only single thing i like  is the marine responses which give u a good laugh now and then but it still  gets repetitive after a while which is common in almost all RTS games.  Sure, Starcraft is an original game with new features that pleases people  just like the old C&amp;C. some people ask for too much in a sequel and  when they find what they havent been looking for, they disgrace the game.  We'll see what sequel is in store for Starcraft but for now, if youre a  serious fan of C&amp;C's then pick up a copy of TS- you'll find an  intersting game with a whole bunch of new features including some old time  favs that would have remembered.",Not a copycat of Red Alert; better than Starcraft
268,"by
    
    Electronic Arts",4,"Okay I admit it, the two main reasons I bought this game are James Earl  Jones and Michael Biehn, whom I believe are bloody great. However, the game  in itself is lots of fun. I'm making my way through the GDI games at the  moment, and having a good time!",Good Fun!
269,"by
    
    Electronic Arts",5,"This is this is the first strategy game I have ever liked that I played, so maybe I'm partial to it ... but I love it!  I don't understand why some  people are so crushed when their &quot;favorite&quot; game series puts out  a bad game.  It's not that big of a deal.  For all you Red Alert buffs, Red  Alert 2 will be out soon so chill out for a minute.  There are a ton of  different strategies to play this game with so it becomes extremely  addictive.  Once you get the basics down ... the sky is pretty much the  limit on strategies you can use so this adds replay value to the game.  It  will definitely keep you busy until the next installment by Westwood.  The  online play is great and easy to use.  I haven't even played the single  player game because I just can't get enough of the online play.  So unlike  the other people who are saying they hate it (but they probably still play  it often), I like it an awful lot.",SO IT'S NOT FANTASTIC ... SO WHAT!
270,"by
    
    Electronic Arts",5,"I just don't understand those who want to give this game low marks. This is a game that when modified with the numerous free online downloads is as good a game as any out there.To start this game is a sequel to command and conquer not red alert which is the much more popular westwood game. That was a problem for some who just assumed that westwood would come out with a red alert sequel first. Never the less there are features in this game that improve upon the original. The original CnC did not allow for skirmish play against the Al opponent only missions. This game does allow multiplayer play and the Al is very  competitive at the more difficult levels.  There are some other small extras as well such as more colors to choose from and the oppportunity to make a map right at the game menu. Just set your specifications and it makes a map that's meets those specs. One new feature i love is the option for a deployable mcv. This allows you to start a base and then move your command center to another area. This game is also much more strategic then the originas CnC. The maps are spectacular with many cliffs, ridges and rivers and lakes. No game has better maps and terrain. I wish i could say the same about the units though. While the structures are creative and attractive the units look down right bizarre and cartoonish. Some may like this but i don't. The colors of the units and structures are rich and  pleasant but some units are too strange looking to enjoy. The infantry look alright but the tanks take some getting used to. Another unfortunate aspect of the game is that the nod is given the more strategic interesting units. The gdi has more size and firpower while the nod is more sneaky with it's burrowing apcs and missles. One feature i like is the infantryman. The disc throwers for the gdi or the rocket guys for the nod have armor that makes them much more competitive in battles than a rocket guy or grenade guy in red alert. You can't just run over these infantrymen. A group of 10 disc throwers can do serious damage to a camp if allowed to sneak in or they can quickly do away with a harvester. The basic play is bascially the same as CnC or red alert but there are enough new features here to make it a worthwhile purchase at $20.Overall i would rate the stock tiberian game that comes from the store as a 3.7 to 3.8 stars. A good solid game. What makes this a truly great game is the numerous free downloads and upgrades available both at westwood.com and many other sites. On the program menu for the game is an upgrade option from westwood that helps to work out some of the bugs and improves the game. In addition there are literally dozens of web-sites devoted entirely or in part to this game that provides an incredible array of free downloads that provide game modifications, new maps, units and game tips ect. Also included are opportunites to join klans and clubs, things that really enhance the enjoyment of the game. One download called &quot;resistance 2.0&quot; will add 50% more speed and firepower and will double the number of units and structures. You can find this download at tsden.com. It is these additional modifications and options that convert a good game into a fantastic game. These upgrades and downloads are absolutely free and require very little time, effort or computer savyness to add and if you're ambitious you can do your own modifications.The only complaint i would have of my modified game is that there is no navy. All these wonderful maps with water but no opportunity to make destroyers or crusiers like in red alert or total annililation..................socks",Great game!!!!!!
271,"by
    
    Electronic Arts",4,"This pretty good, it has a good story, great in-game movies and adequate gameplay. However most of the marketing for this game has centered around it being a sequel to Red Alert. This is simply not true. The two games have  almost nothing in common and Red Alert is a far better game. In saying this  I mean that Tiberian Sun takes a huge step BACKWARDS in terms of gameplay  from Red Alert. Gone are the ships and air planes to be replaced by boring  helicopters and cheap &quot;hover units&quot;.However this game is  not a total waste it has a very good storyline and execellent cinematics,  featuring performances by several Hollywood stars (well maybe not stars but  close enough). The graphics are pretty good but other games have done  better.Sure it's a classic and if you really like the series go  ahead and buy it. But if you want the true best strategy game of 1999, go  and check out Homeworld it's a far better game.",Good But Not Great
