,brand,overall,reviewText,summary
0,Nintendo,4,"I used to love this game; but now it's dated and now that I look back on it, it's not as fun now, either way, here's my review.Graphics: 8.5/10. This is a more realistic snowboarding game, so there are very realistic colors; unlike snowboarding kids or anything with very bright colors. 1080 features very realistic physics and is very sophisticated. Anyways, the graphics I remember loving mainly because of the powdery snow. I liked to edge in deep snow just because it was it was so fluffy. For that, this game got what it got in this category.Sound: 9/10. Whether you go through a foot of snow or right accross jagged ice, there's a different noise. There is a different sound for everything, which is strange because really for the most part in many games on the N64 there is the same or a very similar song for everything in the game.Control: 8/10. Very, very realistic and solid, but It's frustrating for that reason. it is really realistic so you really have to land FLAT to get land, which can be frustrating for little kids. There is also damage; so if you get beat up a lot you will not win the race.Fun: 8.5/10. Nice and realistic, great events, and different difficulties for every age and cool characters make this a must play for any  owner of an N64.9/10",Finally; a great snowboarding game.
1,Nintendo,4,"This game definitly fits the thought I had of a snowboarding game when I set out to buy one. The graphics are moderately realstic, the control is ok, and the sound is mediocre. I think they could of done a lot better job designing a game like this, but this edition suffices.It is one of the only snowboarding games on the N64, which was one of the reasons i bought it. Another reason is the outstanding multiplayer coordination. I bought this as soon as I played it at a friend's house. You unfortunatley play with only 2 players at a time, but it is still fun to play your friend head to head.  There are 6 courses, and under single player you can also do half pipe and air make. There are 5 characters that you can use to race, and more of which you can unlock. since there are only 60 head to head course combinations, there are other things you can do, like trick or time attacks.This can take a bit to get used to, as it can be boring for the single player. If you have a will and a friend however, this game will surely be worth it.",An Adequate N64 snowboarding game.
3,Nintendo,4,"In comparison to other N64 games, this piece is a worthwhile buy.  The single player mode is challenging enough to warrant playing for a while to unlock the secret characters.  Two player mode gets pretty boring, pretty quickly because there are only 6 tracks to race on so there's not much variety.  The stunt mode is the main appeal of the game and could easily occupy you for hours.  However, it soon just becomes a thumb spinning frenzy for points.  Given this is fun for a while but it gets all that white junk inside the control stick holder, and ruins thumb coordination for the rest of the day.  So buy this game and spin in circles to your heart's content.",1080 Degrees of Thumb Rotation
5,Nintendo,5,"The game in many ways is like tony hawk.  In fact, the only differnt thing this snowboarding.  The graphic and gameplay are good.  With 5 differnt boarders to use and alot of tracks, the game is worth the money.","Like Tony Hawk, this game is a classic!"
6,Nintendo,5,"I'm 23 now, got the game when it first came out when I was around 12. Still the bet snowboarding game of all time. So much fun that I still get the n64 out here and there simply to play this game. Has a time attack mode, trick mode, racing series, and a mixture of them all. Just a great classic that rates up their with 007 Goldeneye for classic N64 games that could last forever for those every now and then gamers like myself. Great game...that's highly reccomended.",Awesome...
7,Nintendo,5,"When my cousin first got this on his birthday, I was thinking &quot; this is just gonna be like all the other snowboarding games I've played&quot;.  Man was I wrong!  With 8 levels of exciting, heart stopping jump, twists and turns, this is one game you don't wanna miss.  It has all the best modes, Match Race&lt;this is where you earn hidden levels against the computer&gt;, 2 Player, Trick Attack, Time Attack,and Contest, this is one game that won't get tiring fast.  Heed this warning:if you buy this game, don't go after the 1080 just yet, it's hard to master.  What more do I have to say?  Buy this game!",1080-best snowboarding game to date
8,Nintendo,5,"Once you get the hang of the controls, this game is awesome... it's challenging and entertaining, and everyone should have one.This game has amazing graphics-- you can even see the snow spray off the board when you make the slightest turn. Plus, the camera controls are flawless. The sound track is pretty good, too- you can hear the snowboard scraping and the snowboarders sometimes talk, and the techo tracks that accompany the races are pretty cool too.My only complaint is that there aren't enough courses. After I unlocked the 6 courses and beat the &quot;Black Diamond&quot; level, there wasn't much else to do. But even after you've unlocked all the courses, it's still fun to play against your friends in the 2 Person VS mode, or doing tricks in the half pipe.I think that anyone who has a N64 should add this game to their collection, without a doubt... it's a solid game, and you won't regret it.",A Must-Buy for everyone's N64 Collection...
10,Nintendo,5,"Without any doubt, 1080 Snowboarding is probably the best snowboarding game available.The difficulty of the controls are a little more difficult than other snowboarding games and may take a little bit more time to master, but it's well worth it. Landing correctly is also a little harder to do than normal.The mode and track selection is very nice, offering a nice variety of tracks and available modes. The tracks offer beautiful scenery, sometimes very big jumps, jumping over cars, and a lot more.The tricks and the stunts selection that you can perform is very reasonable. Although you can't go beyond 1080 degree turns, there are other tricks that you might not find in any other snowboarding game.1080 also includes a Training mode, which includes two different sections, the halfpipe and a straight run with moguls. When you begin, you can turn into the left gate for the halfpipe to practice your tricks, or you can head into the right gate for a straight downhill run with moguls scattered all over. When you finish, you start back up at the main gate and you keep going until you decide to quit.1080 also has a few secret riders and boards within the game.Overall, 1080 is probably the best snowboarding game around, without any doubt. Would be definitely worth buying.","The best snowboarding game, hands down."
11,Nintendo,4,This is the best Snow boarding game you can get but you will get tierd of it soon,Best Snow board game
13,Nintendo,5,I love the Nintendo 64! I still play some games occasionally and this one was always a fun one. It will frustrate you though!,Fun game
