,brand,overall,reviewText,summary
871,Sony,2,"THE GRAPHICS AREN'T TOO GOOD, THE CARS LOOK GREAT BUT ARE LOADED WITH MORE HANDLING PROBLEMS THAN EVER BEFORE, AND THE GAMEPLAY SUCKS. LET'S FACE IT, THE ONCE-GREAT RIDGE RACER SERIES IS NOW DEAD. AND THIS IS THE GAME THAT HELPED SEAL ITS FATE.",THIS IS THE WORST GAME OF THE SERIES
879,Sony,2,"THE GRAPHICS AREN'T TOO GOOD, THE CARS LOOK GREAT BUT ARE LOADED WITH MORE HANDLING PROBLEMS THAN EVER BEFORE, AND THE GAMEPLAY SUCKS. LET'S FACE IT, THE ONCE-GREAT RIDGE RACER SERIES IS NOW DEAD. AND THIS IS THE GAME THAT HELPED SEAL ITS FATE.",THIS IS THE WORST GAME OF THE SERIES
1330,Sony Computer Entertainment,1,"I was a big fan of Parappa the Rapper and I was seriously disappointed with this sequel. It's bad enough that you can beat it in 30 minutes, but what's worse is that you wouldn't want to! The music is just bad and that is inexcusable for a music game. Where are all the catchy tunes? I can't remember one line from this game, whereas I have all of Parappa the Rapper's songs memorized. It's missing those great lyrics found in Parappa like my favorite: &quot;Sunny in my life, she's like a dice, I can't tell which way to turn 'till I spice!&quot; Skip UmJammer and get Parappa.",What happened here?
1331,Sony Computer Entertainment,2,"I would rent this game. It takes no skills what so ever to beat it. Maybe it just came naturally to me, or maybe I'm just to critical but this game is not worth buying. In my opinion this game would only appeal the the 8-11 age range and even then would they only play it once or twice.",Good rental game
1336,Sony Computer Entertainment,1,"I was a big fan of Parappa the Rapper and I was seriously disappointed with this sequel. It's bad enough that you can beat it in 30 minutes, but what's worse is that you wouldn't want to! The music is just bad and that is inexcusable for a music game. Where are all the catchy tunes? I can't remember one line from this game, whereas I have all of Parappa the Rapper's songs memorized. It's missing those great lyrics found in Parappa like my favorite: &quot;Sunny in my life, she's like a dice, I can't tell which way to turn 'till I spice!&quot; Skip UmJammer and get Parappa.",What happened here?
1337,Sony Computer Entertainment,2,"I would rent this game. It takes no skills what so ever to beat it. Maybe it just came naturally to me, or maybe I'm just to critical but this game is not worth buying. In my opinion this game would only appeal the the 8-11 age range and even then would they only play it once or twice.",Good rental game
1361,"by
    
    Sony",2,"This game is unexplicably fun, it drives you insane when your character dies, it makes you go into tears when you acquire your spells. THIS GAME IS EVIL...First off you do one thing, kill, kill, and kill. Sure there are quests and of course tradeskills, but those two things are only possible by killing, and get boring and pointless. SO then you just end up killing everything, you keep going and going until it sucks your brain dry. DON'T buy this game...",Commiting suicide has never been easeir!
1362,"by
    
    Sony",2,"Ok, bottom line, this game starts out fun, and addictive, ok that said and done I wanna tell you how it really is. Everquest is just what it says, a quest that just keeps going and going, now I know this may sound fun at  first, but keep reading. after playing my character to lvl 19(takes  forever, 2 - 3 months) I finally realised that the game is not changing, it  never gets harder, its always the same, every enviroment is modeled after  another, only changed a bit, the monsters are uninspired and it takes  forever to get up lvls, as you can see above,(for those of you who don't  know, a lvl is what you gain after getting enough experiance[which is what  you get when you kill a monster] to surpase a limit which gains you a lvl  and makes you better at fighting monsters.) The monsters have terrible  AI(artificial inteligence) they wander about the world until you or someone  comes into view, then they attack you! there is no AI in this game, a lvl 1  orc pawn will attack a lvl 20 warrior! How stupid is that? Does the pawn  give any consideration to your supiriority? No, it is simply programed to  attack whatever comes into view. The only thing that gets harder about EQ  as you go along is how long it takes to get lvls. It can take you as much  as 6 months to a year before you get up to lvl 50(the highest lvl you can  obtain). Another thing is the price, which ALL online RPG's charge, you pay  $40 - $50 to buy the game at the store, but it doesnt stop there, you have  to pay 9.95 a month to continue playing. Now, if you have to pay $9.95 a  month, why do they make you pay $50 to buy the game?  they should make it  $20 to buy the game, and they should lower the price of the monthly cost as  the game gets old, but they don't, so you'll end up paying a ridiculous  price for everything and in the end, realise it wasn't worth it. On the  plus side, you get one month of play time free when you start to consider  whether you want the game or not. Also the sound effects are pretty good.",Everquest starts fun....
1366,"by
    
    Sony",2,"This game is unexplicably fun, it drives you insane when your character dies, it makes you go into tears when you acquire your spells. THIS GAME IS EVIL...First off you do one thing, kill, kill, and kill. Sure there are quests and of course tradeskills, but those two things are only possible by killing, and get boring and pointless. SO then you just end up killing everything, you keep going and going until it sucks your brain dry. DON'T buy this game...",Commiting suicide has never been easeir!
1367,"by
    
    Sony",2,"Ok, bottom line, this game starts out fun, and addictive, ok that said and done I wanna tell you how it really is. Everquest is just what it says, a quest that just keeps going and going, now I know this may sound fun at  first, but keep reading. after playing my character to lvl 19(takes  forever, 2 - 3 months) I finally realised that the game is not changing, it  never gets harder, its always the same, every enviroment is modeled after  another, only changed a bit, the monsters are uninspired and it takes  forever to get up lvls, as you can see above,(for those of you who don't  know, a lvl is what you gain after getting enough experiance[which is what  you get when you kill a monster] to surpase a limit which gains you a lvl  and makes you better at fighting monsters.) The monsters have terrible  AI(artificial inteligence) they wander about the world until you or someone  comes into view, then they attack you! there is no AI in this game, a lvl 1  orc pawn will attack a lvl 20 warrior! How stupid is that? Does the pawn  give any consideration to your supiriority? No, it is simply programed to  attack whatever comes into view. The only thing that gets harder about EQ  as you go along is how long it takes to get lvls. It can take you as much  as 6 months to a year before you get up to lvl 50(the highest lvl you can  obtain). Another thing is the price, which ALL online RPG's charge, you pay  $40 - $50 to buy the game at the store, but it doesnt stop there, you have  to pay 9.95 a month to continue playing. Now, if you have to pay $9.95 a  month, why do they make you pay $50 to buy the game?  they should make it  $20 to buy the game, and they should lower the price of the monthly cost as  the game gets old, but they don't, so you'll end up paying a ridiculous  price for everything and in the end, realise it wasn't worth it. On the  plus side, you get one month of play time free when you start to consider  whether you want the game or not. Also the sound effects are pretty good.",Everquest starts fun....
