,brand,overall,reviewText,summary
411,"by
    
    Sony",4,"This game is pretty good for its own sake. It's basically about a dead warrior in a land of ghouls & zombies who attack him at every turn, & it is up to you to find the Chaos Rune, among other hidden treasures arrayed throughout this underworld of bizarre incarnations.The animations are up to 3-D par, although I will remark on the variety of different angles. The graphics are japanamistic, but nonetheless amusing.",Gravely entertaining...
412,"by
    
    Sony",4,This game is interesting.  My sister made me pick it up and it is fun to mess around with.  If you are looking for a cute little adventure platformer then this is it.  The graphics are good and the control isn't too tricky.  It does get difficult in parts but not overly.  I am not a huge fan of platform games but this one got me with its unique humorous tones.  Give it a shot on your PS2 if you haven't.  It's a bargain.,A solid and fun game!
413,"by
    
    Sony",5,"This game has very good graphics for a PS game and the action and music.The game is very good and has 22 worlds,although they're short.What I dont like is that,you can only save when you pass a world,and thats bad because if you're doing perfect in the world but then you die,you'll have to do it all over again.The game has 4hands up and 1con,so I recommend it if you like zombie killing,horror action games.",great!
414,"by
    
    Sony",5,"This is a fun game.There are some better games in the history of PlayStation games,such as Crash Bandicoot:Warped,which is not violent,like this is just a little.But it's great enough to be given at least 5 stars.","Hmmm,a great game,but not the best game ever..."
415,"by
    
    Sony",5,"THIS IS ONE OF THE MOST ENJOYABLE GAMES, I'VE EVER HAD THE PLEASURE TO PLAY !!IT IS FAIRLY SIMPLE , NOT TO MENTION LOADS OF FUN TOO !! THERE ARE ONLY A FEW HARD BOSSES , BUT WORTH THE PLAYING TIME . ONE TIP , ALWAYS STOCK UP ON AMMO , AND USE THE FOUNTAIN OF REJUVINATION ALWAYS .THROW YOUR DRUMSTICKS AT ENEMIES FOR HEALTH PICKUPS; BUT YOU GET THEM LATER IN THE GAME.  USE YOUR CROSSBOWS FOR BOSSES -AND PAY CLOSE ATTENTION TO THE BOOKS SCATTERED THRU THE LEVELS .THEY GIVE YOU CLUES.ALL IN ALL IF YOU YOU WANT TONS OF FUN , THEN GET THIS GAME! YOU 'LL CERTAINLY PLAY IT OVER AND OVER AGAIN !!",LONG LIVE SIR DAN !!
416,"by
    
    Sony",5,"So I was seting up for the next stream and then I found this lying around, I started to remember ""Oh man this game was a lot of fun"" so I started to play it again and it still is fun today. So here I am sitting here on Amazon.com and figured ""well since my next stream is going to be for a Playstation game why not this first?""MediEvil is a hack and slash game involving the undead, but unlike popular games that involves zombies in some way like Resident Evil this one is less....realistic. The game has a cartoon feel and the back of the box even says that, I usually love cartoons and this one fits the bill in terms of both comedy and graphics. The story is that there is this story teller for a king who kind of went off the deep end by saying he slain an evil wizard named Zarok. Zarok, who overhears this, decideds to declare war and horrified by this and believing in Fortesques (the story teller) story he sends him out to battle but Daniel goes down at the first shot with a welhelm scream and everything. 100 years later Zarok returns but so does Fortesque but this time the cowardly knight is a skeletal one.MediEvil's controls are a little awkward but once you get the hang of them it becomes quite nice, the atmosphere of this game is dark and gritty but not too much. As I said before the gameplay is a hack and slash type thing like God of War but less gory... much, much, much, much, MUCH less gory than that game and it does throw around puzzles. The game does beg for you to get every single chalice (collectables) by throwing in a lot of challenges that can make it easier to complete if you have a certain weapon such as enemies having an insane amount of health and would take literally forever to kill with your second to strongest sword. Because of this getting a 100% on this game is really easy and there is no bad ending for doing a No Chalice run if you so wish to do so.The music is outstanding and some of it is memorable, one of my favorite tracks is the ending theme of this one, the music is compose of a synthesizer and other normal instruments.So how would I rate this game, well I think this game is perfect and is and always on the number one spot of my top ten list of favorite games of all time. For that this game gets a 10/10 stars from me, music, gameplay, and graphics are always great and the controls are a bit awkward as I said but once you get used to it then this game is a blast. ALL HAIL SIR DANIEL FORTESQUE!!!!!!!!!!!!!!!!!!!!!!!",MediEvil
417,"by
    
    Sony",5,"So much fun.My husband and I played this game til we all but wore it out.We still have it, and now that we're back into gaming again, intend tohook up the PS and play it still.  It's just that good.I wish someone would come out with an updated version for the Wii or later,b/c we'd def buy it!",Bring it back!
418,"by
    
    Sony",5,like play game as fun and enjoy. haven't play for long time and final get so like play what I can say that all,cool
419,"by
    
    Sony",5,"Twisted Metal 2 is one of the best Twisted Metal games, I still like Black better. I liked the movie where Axel goes back to his father and rips his arms out of his machine. I hate the T rating. Buy this game NOW!",Cool stuff for all
420,"by
    
    Sony",5,"Twisted Metal 2 was a HUGE game back in the day.  The graphics were really good for its time, and the play control, while some will probably argue with me, was always accurate and responsive.  This is truly a classic game.  It had many imitators that hardly anyone remembers these days.  Stick with the Twisted Metal series though.  You can't go wrong with the amount of destruction this game has to offer.",a classic
